Source,State,AgreeName,Address,Units,Active Units,FDH Activation Date,City,RE Assigned,ROE Executed Date,PAL Executed Date,RE Status,Closed Date,Closed Bucket,Closed Notes,Existing Fiber Provider,Off Hold/Exp Date,Notes,Management Company,Owner/Property Contact
Site Data,NE,OMAHA_MDU_Elwood Apartments,101 S 49TH AVE UNIT 1 OMAHA NE 68132,20,0,6/11/2025,OMAHA,RS,,,Closed - Lost,45772,Not Interested,"LL Denied Access - Kristina Noe <knoe@burlingtoncapital.com>  Kristina Noe
Burlington Capital, Properties
Property Manager
Elwood Apartments: (402) 558-1411
Quail Run Blair: (402) 426-9199
BCP Office: (402) 930-3042
www.burlingtoncapitalproperties.com",,,"1/29 Kristina Noe
Burlington Capital, Properties
Property Manager
Elwood Apartments & Ambassador Apts at 109 S. 49th Ave.  (402) 558-1411
Quail Run Blair: (402) 426-9199
BCP Office: (402) 930-3042
www.burlingtoncapitalproperties.com","Property Management - Burlington Capital Properties is the Leasing Office
Elwood Apartments / & Ambassodor Apts 
101-103 49th Ave, Omaha, NE 68132
(402) 697-5898 (p)","
Burlington Capital Properties 
El Wood Apartments LLC - Recorded Owner
Same property mgnt company Burlington Capital  - same as 109 S 49th Ave 
402-558-1411 (402) 697-5898 (p)"
Site Data,NE,Omaha_MDU_Cherry Hill Apts,1014 N 48TH AVE UNIT 1 OMAHA NE 68132,12,0,8/25/2025,Omaha,RS,,,Closed - Market Reviewed,46085,,"2/9 Unable to Reach LL - Need Market Assistance 
2/2 Unable to locate Property owner Info
1/22 spk with woman from North Dakota, Gold Leaf Properties, this is not same company / had to cancel ROE / comfort homes is not working EM/Phone either.  Researching a good POC. ",,,"3/4 This is not # to Cherry Hill Apts. / Market Notes:  Ellen Douglas 402-289-9388 	Cherry Hill Apartments 
Gold Leaf Properites address: 19312 Sahler St, Elkhorn NE 68022, also at this address Dville Properties, LLC
2/18 Need Market Assistance 
2/2 Unable to locate Property owner Info
1/22 spk with woman from North Dakota, Gold Leaf Properties, this is not same company / had to cancel ROE / comfort homes is not working EM/Phone either.  Researching a good POC. ","Recorded Owner - GOLD LEAF PROPERTIES LLC 
","Comfort Homes, Inc.- True Owner: 
GOLD LEAF PROPERTIES LLC -Recorded Owner - 
Parcel ID (PIN) - 0752790002
Not the Owner: Julian R Stewart (919) 553-3242 Clayton, NC 27520"
Site Data,NE,Omaha_MDU_1015 N 47TH AVE,1015 N 47TH AVE UNIT 1 OMAHA NE 68132,12,0,8/25/2025,Omaha,RS,,,Closed - Market Reviewed,46055,,"2/9 Unable to Reach LL - Need Market Assistance 
2/2 Unable to locate POC/owner info
1/22 No working phone numbers or emails to reach owners. ",,,"3/4 Market Notes: No Viable Info 
2/18 Need Market Assistance 
2/2 Unable to locate POC/owner info
1/22 No working phone numbers or emails to reach owners. ","Parcel ID (PIN) - 2405810000
Recorded Owner- Khorram Capital LLC","Rob Khorram
Khorram Capital LLC"
Site Data,NE,Omaha_MDU_1016 N 47TH AVE,1016 N 47TH AVE UNIT 1 OMAHA NE 68132,18,0,8/25/2025,Omaha,RS,,,Closed - Lost,46057,Not Interested,"2/4 Spk to Marvin, property owners not interested. ",,,"2/4 Spk to Marvin, property owners not interested. 
2/3 VM/EM to Marvin / LL unresponsive
1/22 sent Marvin the Prop. Mgr ROE ","Property Management -Haycon 
1016 N 47th Ave, Omaha, NE 68132 
 (402) 342-1005 (p) Marvin
omahapropertymanagement.com  / frontdesk@myoppm.com","Mary E Vandenack 
Alansco Ltd-Recorded Owner: 
3568 Dodge St, Omaha, NE 68131
1705 County Road 6, Yutan, NE 68073
(402) 625-2064 (p) not working 
Owner: Mary Vandenack  (402) 625-2151 (p) Office "
Site Data,NE,OMAHA_MDU_108 S 49TH AVE,"108 S 49TH AVE UNIT 1 OMAHA NE 68132
Casa Linda Apartments",13,0,6/11/2025,OMAHA,RS,,,Closed - Lost,46057,Not Interested,2/4 LL not interested ,,,"
2/4 LL Not interested
2/3 EM/ VM to Dee / LL unresponsive 
1/22 LMTCB w/ Dee / EM ROE to Dee  - Casa Linda Apartments ","Parcel ID (PIN) - 0954280000
Property Address - 108 S 49 AV 
MIDTOWN REALTY & MANAGEMENT
DEE@OMAHAMIDTOWN.COM  / Casa Linda Apts 
Phone: (402) 342-2322","
KATHLEEN FAIER LIVING TRUST
C/O FAIER PROPERTIES
511 TURNER BLVD
OMAHA, NE 68105
PIN  0954280000"
Site Data,NE,OMAHA_MDU_AMBASSADOR APARTMENTS,109 S 49TH AVE UNIT 101 OMAHA NE 68132,20,0,6/11/2025,OMAHA,RS,,,Closed - Lost,46045,Not Interested,"Older Bldgs, Property owner does not allow any type of internet or new equipment installs in buildings (Addresses are 101, 103, 109, 111, 113 S 49th and 4915 Dodge Locations) ",,,"1/29 Kristina Noe
Burlington Capital, Properties
Property Manager
Elwood Apartments & Ambassador Apts at 109 S. 49th Ave.  (402) 558-1411
Quail Run Blair: (402) 426-9199
BCP Office: (402) 930-3042
www.burlingtoncapitalproperties.com
Owner - ELWOOD APARTMENTS LLC 
Property Address - 101 S 49 AV
and 
Parcel ID (PIN) - 0513106042
Owner - 111 S 49TH AVE LLC 
Property Address - 109 S 49 AV","Property Management - Burlington Capital Properties 
Ambassador Apartments
109 S 49th Ave, Omaha, NE 68132
(402) 444-1630 (p)","Burlington Capital Properties 
Katherine Krauss- True Owner: 
111 S 49th Ave LLC - Recorded Owner: 
Parcel ID 1310-6042-05
5122 Capitol Ave, Omaha, NE 68132
(212) 529-0645 (p)
"
Site Data,NE,Omaha_MDU_1115-1117 N 48TH ST,"1115 N 48TH ST UNIT 1 OMAHA NE 68132
1115 N 48th Ave - Cottonwood Apartments
ADDRESSSES ASSOCIATED: 1121, 1130, 1115, 1120 N 48TH ST. / 4758, 4754, 4756,4752 NICHOLAS ST ",19,0,8/25/2025,Omaha,RS,,,Data Issue,45964,Other,PAL in Process,,,1/23 Melissa to confirm if PAL was obtain in Nov 2024 w/ Bulk deal on several properties ,"Paladino Development 
(402) 763-0311 (p) 
Victor Ramirez  402-708-1211  pdgdirector@paladinodevelopmentgroup.com","
CORSICA APARTMENTS LLC 
Property Address - 1115 N 48 ST 
Parcel ID (PIN) - 2407920001"
Site Data,NE,Omaha_MDU_1121 N 48TH ST,1121 N 48TH ST UNIT 1 OMAHA NE 68132,17,0,8/25/2025,Omaha,RS,,,Data Issue,45964,Other,PAL in Process,,,1/23 Melissa to confirm if PAL was obtain in Nov 2024 w/ Bulk deal on several properties ,"Paladino Development 
(402) 763-0311 (p) 
Victor Ramirez  402-708-1211  pdgdirector@paladinodevelopmentgroup.com","Paladino Development 
(402) 763-0311 (p) 
Victor Ramirez  402-708-1211  pdgdirector@paladinodevelopmentgroup.com
CORSICA APARTMENTS LLC
Parcel ID (PIN) - 2407920001
Property Address - 1115 N 48 ST "
Site Data,NE,Omaha_MDU_Kelli-Gene Apts,1308 N 40TH ST UNIT 1 OMAHA NE 68131,23,0,11/3/2025,Omaha,RS,,,Closed - Market Reviewed,46070,,Cannot connect back with Property Owner. ,,,"3/4 LL unresponsive /closed 
2/18 Need Market Assistance 
2/17/26 LMTCB w/ Owner / Closed Need Market Assistance 
2/12 LMTCB both numbers no response  Sasha 
2/9 LMTCB / Both Apts and Shaniah.  / no response. 
2/4 LMTCB / Both Apts complex and Shnaiah. 
2/3 FU EM to Shaniah on ROE 
1/23 ROE via Ironclad - LL responded with interest and inquired about security system option w FF - Requested Melissa Baker give LL a call to go over options","Kelly Gene Apartments  402-397-8700 Peterson  Bros Realty -
Shnaiah Mounga - owner (303) 656-3662 ","Shnaiah Mounga
Parcel ID (PIN) - 2538400001
351 W 1450 S OREM, UT 84058
True Owner  Shnaiah Mounga - owner
 (303) 656-3662 
1601 Vinton St, Omaha, NE 68108
shnaiahmounga@kanayarealestate.com"
Site Data,NE,Omaha_MDU_Carthage Apartments,"
1312 N 49TH AVE UNIT 1 OMAHA NE 68132",12,0,9/22/2025,Omaha,RS,,,Closed - Lost,46056,Not Interested,2/3/26 Adam Watson denied access ,,,"2/3 Adam Not interested in Install/ removed from list / cancelled ROE 
1/23 ROE sent via Ironclad to Adam Watson - LL owns 2 properties / He inquired if we could give a bonus deal like cox / kick back on when tenants sign up  - I referred him to Melissa Baker to answer questions on perks of FF incentives ","The Carthage Apts 12 units
Parcel ID (PIN) - 0752040000
ROE to Adam directly, he also inquired about ""sign on bonus"" same as what COX offered per sign up of tenants,   referred him to Melissa to answer these questions. ","WATSON PROPERTIES LLC
2125 S 114th St, Omaha, NE 68144
Adam Watson
1125 South 96th Street, Omaha NE 68124
Cell: 402.319.6105
watsoncompanies@gmail.com
Owner - DUNDEE CREEK APARTMENTS ETAL 
Property Address - 1312 N 49 AV 
Recorded Owner Dundee Creek Apartments, LLC
4901 Hamilton St Omaha, NE 68132
(402) 399-8400 (p)"
Site Data,NE,Omaha_MDU_Hamilton Apartments,1325 N 49TH AVE UNIT 1 OMAHA NE 68132,12,0,9/22/2025,Omaha,RS,,,Closed - Lost,46056,Not Interested,2/3/26 Adam Watson denied access ,,,"2/3 Adam Not interested in Install/ removed from list 
1/23 ROE sent via Ironclad  to Adam Watson - LL owns 2 properties / He inquired if we could give a bonus deal like cox / kick back on when tenants sign up  - I referred him to Melissa Baker to answer questions on perks of FF incentives "," 12 units
PIN  0751940000 -
Property Address:1309 N 49 AV
ROE to Adam directly, he also inquired about ""sign on bonus"" same as what COX offered per sign up of tenants,   referred him to Melissa to answer these questions. ","WATSON PROPERTIES LLC
2125 S 114th St Omaha, NE 68144
Adam Watson
1125 South 96th Street, Omaha NE 68124
Cell: 402.319.6105
watsoncompanies@gmail.com
Owner Name-DUNDEE CREEK APARTMENTS ETAL 
Recorded OwnerDundee Creek Apartments, LLC
4901 Hamilton St Omaha, NE 68132
(402) 399-8400 (p)"
Site Data,NE,OMAHA_MDU_1410 N 45th St_APTS,1410 N 45TH ST UNIT 1 OMAHA NE 68132,12,0,8/7/2025,OMAHA,RS,,,Closed - Market Reviewed,46085,,Cannot connect back with Property Owner. ,,,"3/4 Cancelled ROE LMTCB  Market Notes: 844-311-4368 ext. 1400 - not a good number / call goes nowhere.  managed by Chronicles Properties
2/17/26 LMTCB w/ Owner / Closed 2/18 Need Market Assistance  
2/12  VM / EM to Chad w/reminder to sign ROE that was ent 1/23
2/10 VM / EM to Chad w/reminder to sign ROE that was ent 1/23
2/4 LMTCB w/Chad. EM reminder to sign ROE  to Chad 
2/3 F/U EM on ROE
1/23 ROE sent via Ironclad to Chad ","Chad Beeman
(402) 416-7660 (p)
BSCB LLC","BSCB LLC
Chad Beeman-True Owner - 
Parcel ID (PIN) - 2152170000
Property Address - 1410 N 45 ST 
( 1410 & 1412 N 45th St.) associated addresses
D-pack LLC
(402) 416-7660 (p)  ckbeeman@hotmail.com"
Site Data,NE,Omaha_MDU_Caroline,1616 - 1618 MILITARY AVE UNIT 3 OMAHA NE 68111,10,0,10/7/2025,Omaha,RS,46076,,Completed,46076,,ROE Obtained,,,"2/23 FE ROE MDU - They have multiple properties (40 locations) they requested a ""Bulk Incentive""  I passed this new opportunity onto Fiber First. Melissa Baker. . 
2/17/Sent reminder via Ironclad to sign ROE 
2/12 Sent reminder via Ironclad to sign ROE 
2/10 Spk to Marliese, she is checking her email, I will resent ROE , she was too busy to talk on phone. 
2/3 FU EM on ROE to Marliese
1/26 Spk to Marlise Dishaw explained our proposal, she will look at ROE","Arthur J / Mary E Schon Trst
2900 Douglas St. O,NE68131
marlisedishaw@gmail.com - 402-616-4376
402-345-9944 /  Holly is Front Desk POC if we need Apt Access for FF. ","SCHON ENTERPRISES LLC
Parcel ID 2146070000
POC:  Mark Dishaw – 402-214-3775 mark.multivest@gmail.com 
marlisedishaw@gmail.com"
Site Data,NE,Omaha_MDU_Margaret Mae,1806 MILITARY AVE UNIT 1 OMAHA NE 68111,17,0,10/7/2025,Omaha,RS,,,Closed - Lost,46057,Not Interested,"Son w/manages the property for owner, does not want any equipment installed on property. Closed opportunity",,,"2/4 Spk to Carol - her son does not want to have any equipment installed at building. 
2/3 FU VM to Carol to see if she recived ROE in Mail / 
1/20 ROE sent via US Mail / Carol has no EM / She will discuss w/her son. ","Carol Christiansen
4107 Izard St, Omaha, NE 68131
(402) 556-2893 (p)","
Carol Christiansen
Parcel ID 2146740000
4107 Izard St, Omaha, NE 68131
(402) 556-2893 (p)"
Site Data,NE,Omaha_MDU_Northbrook Apartments,"1825 NW RADIAL HWY UNIT 1 OMAHA NE 68104 
Northbrook Apartments ",23,0,10/7/2025,Omaha,RS,,,Closed - Lost,46085,Not Interested,LL has no interest ,,,"3/4 Market Notes: 402-885-7800  - LL not interested in proposal. / This is Havenview Northbrook Apartments 
2/18 Need Market Assistance 
2/17/26 LMTCB w/ Owner / Closed need Market Assistance 
2/12 Resent the ROE to Brian/ pending signature new EM address 
2/10 LMTCB w/Broc, had resent the ROE w/name change to Brian.  
2/3 Brian will sign ROE / 
1/26 Spk with Brian, he said to send ROE to Havenview. I did . ","Parcel ID 2147050000 / Northbrook Apartments
Havenview Residential Management-  (402) 885-7800 /Brian McKernan bmckernan@uniqueprop.com - Brian's EM  management@homeathavenview.com   
Broc Gregory • Executive Vice President
402.968.9200 • broc@accesscommercial.com 
ACCESS Commercial & 
Havenview Residential Communities
Office: 402.502.1983","BRK Real Estate II LLC- Recorded Owner
1825 NW Radial Hwy, Omaha, NE 68104
True Owner- BRK Real Estate II
2836 Emporia St, Denver, CO 80238
(720) 530-9070 (p) Brian McKernan
David McKernan"
Site Data,NE,Omaha_MDU_Papio Valley Apartments,"
2004-2005 N 81ST CT OMAHA NE 68134",17,0,12/27/2023,Omaha,RS,,,Closed - Lost,46064,Not Interested,"Spoke w/Aaron Flaugh Wife, she said they are not interested in the proposal. ",,,"2/11 LL Denied Access 
2/4 VM box full / could not leave msg - EM sent as reminder. 
2/3 EM/VM to Aaron FU on ROE and inquired about other sites they own on Ville De Sante 
1/26 Spk to Owner wife, obtained EM for Aaron - sent ROE via Ironclad","Parcel ID (PIN) - 2428330006 / La Bonne Vie Apts SDI Papio La Bonne Vie LLC
Seldin - Papio Valley
2004 N 81st Ct, Omaha, NE 68134  
(402) 955-0414 (p)
Amanda Detrick - Prop. Mgr (402) 551-4243 (p)
pva@seldin.com","
Aaron Flaugh - 'parlayrent@gmail.com' flaughinc@tivejo.com
Recorded Owner:  SDI Papio La Bonne Vie Llc
Aaron Flaugh- Owner
(402) 450-2339 (p)(402) 489-4304 (m)
flaughinc@tivejo.com"
Site Data,NE,Omaha_MDU_Benson Gardens,2019 BENSON GARDENS BLVD UNIT 1 OMAHA NE 68134,12,0,8/27/2025,Omaha,RS,45800,,Completed,45800,,ROE obtained,,,"Zask Capital Management is  new owner, they signed the ROE ","Parcel ID (PIN) - 0634030000
Zask Capital  Management -Mootah Kpebane
Zask Capital Management LLC  - zaskcapital@gmail.com","SOKOMO CAPITAL PARTNERSHIP LLC 
Property Address - 2017 BENSON GARDENS BD 
Zask Capital  Management -Mootah Kpebane
Zask Capital Management LLC  - zaskcapital@gmail.com"
Site Data,NE,Omaha_MDU_2313 N 72nd St apts,2313 N 72ND ST UNIT 1 OMAHA NE 68134,9,0,7/24/2025,Omaha,RS,46049,,Completed,46049,,"ROE obtained
1/27/Community Alliance FE ROE ",,,"1/27 ROE Obtained  ddunlap@commall.org 
Don Dublap - Facilities Mgr 
Donna Poor -  402.341.5128 - dpoor@commall.org","Community Alliance Housing Management Services
Aileen Brady (abrady@commall.org) tried this email.  (A.Brady@communityalliance.com)
Deborah Kohl (D.Kohl@communityalliance.com)
(402) 341-5128 (p)
www.community-alliance.org","Community Alliance Housing
4001 Leavenworth St, Omaha, NE 68105
(402) 341-5128 (p)Parcel ID (PIN) - 0649020002
www.community-alliance.org"
Site Data,NE,Omaha_MDU_Sierra Place,2706 N 75TH ST UNIT 1 OMAHA NE 68134,23,0,12/30/2023,Omaha,RS,,,Closed - Lost,45618,Existing Fiber,Apt has Cox Exclusive Contract,Cox,,"7/24/24 Adrianna, Prop. Mgr - Villa Blanca Apartments/ Bricktown. Property Mgnt Co is Point Guard Mgnt. 
Adrianna said all tenants when they sign lease, sign a media contract stating COX would be their internet provider, and no other carrier can install equipment in the building. 

She said we cannot install any equipment in this building","Point Guard - Villa Blanca Apartments
2706 N 75th St
Omaha, NE 68134
(316) 469-5335 (p)","Christopher Pomerleau
2706 N 75TH STREET LLC
Recorded Owner 
117 S 25th St, Omaha, NE 68131
Christopher Pomerleau -True Owner: 
1508 N 180th Ave, Omaha, NE 68122
www.leavenwealth.com
Chris Pomerleau  (402) 740-6995 (p)
chris@parkaveinvesting.com"
Site Data,NE,Omaha_MDU_2922 N 54th St Apartments,2922 N 54TH ST UNIT 1 OMAHA NE 68104,12,0,7/1/2024,Omaha,RS,,,Closed - Lost,45575,Not Interested,"LL Denied Access  Jo Wood • Property Manager
402.885.7800 • jolene@homeathavenview.com
Havenview Residential Community
",,,,"Jo Wood • Property Manager
402.885.7800 • jolene@homeathavenview.com
Havenview Residential Community
4910 Dodge Street, Suite 213
Omaha, NE 68132
Office: 402.885.7800
www.homeathavenview.com","
PETROW TR THEODORA G
Parcel ID (PIN) - 1830160000
Property Address - 2922 N 54 ST "
Site Data,NE,Omaha_MDU_302 N 48th St,"302 N 48TH ST OMAHA NE 68132 
Property Legal Address: 4804 DAVENPORT ST Arboretum Apartments",11,0,9/23/2025,Omaha,RS,,,Closed - Market Reviewed,46086,Not Interested,"3/5 LL Not interested / Closed 
3/4 LMTCB / Market Notes: 402-445-0380	 / 402-709-5589 was text i received 
2/9 Unable to Reach LL - Need Market Assistance 
2/2 Unable to Reach LL / unresponsive to VM/ EM ",,,"
3/5 Per Judy , LL Not interested in proposal / closed  Judy 402-709-5589 
3/4 LMTCB / Market Notes: 402-445-0380 -Pro Properties RE Agent 
2/4 Market Assistance - LMTCB w/ Seldin/ no return call
2/3 LMTCB w/ Seldin who manages these apts. Papio Valley
1/26 - LMTCB at (402) 955-0414  Seldin -  these numbers are same company as Papio Valley La Bonne Vi South/  402-991-3100 
Arboretum Apartments","Parcel ID (PIN) - 0953150002
Owner - EINUNG ETAL TRUST JOHN D 
Property Address - 4804 DAVENPORT ST 
JOHN D EINUNG ETAL
4411 N 142 ST, OMAHA, NE 68164
 (402) 955-0414  Seldin - 
Papio Valley La Bonne Vi South/  402-991-3100 ","
John D Einung
JOHN D EINUNG ETAL TRUST Owner - 
Parcel ID (PIN) - 0953150002
Property Address 4804 DAVENPORT ST  OMAHA 68132"
Site Data,NE,Omaha_MDU_360 Skyview,"3025 MEREDITH AVE UNIT 1 OMAHA NE 68111
Northside Apartments ",26,0,12/27/2023,Omaha,RS,46064,,Completed,46064,,ROE obtained,,,"2/11 FE ROE MDU 
2/3 Pending F/U from Cornelia on status of how we were bringing fiber to bldg from PROW - LL wanted process. 
1/26 ROE to Troy Woodard  531-210-1399  / He wants to know how we can bring the fiber to his building before he signs ROE -  Cornelia to call him after she does a drive by of the property. ","Lee & Associates
Allied Properties - Troy Woodard  531-210-1399 Owner - ","Lee & Associates
Allied Properties - Troy Woodard  531-210-1399 Owner - 
Parcel ID (PIN) - 0824370002 / Northside Apts  26 Units 
Property Address - 3025 MEREDITH AV 
Recorded Owner: Allied Properties North
815 Gottsch Dr Arlington, NE 68002
Troy Woodard  531-210-1399 / twoodard528@yahoo.com
True Owner: Lee & Associates
200 S 21st St, Suite A113, Lincoln, NE 68510
(531) 721-2888 (p)
www.lee-associates.com"
Site Data,NE,Omaha_MDU_Arbor Creek Apartments,345 S 78TH ST UNIT 1 OMAHA NE 68114,14,0,8/22/2024,Omaha,RS,45526,,Completed,45526,,"ROE obtained
We have a FE ROE, but LL  adamant about not installing anything on the building until we had a service order ",,,"We have a FE ROE, but LL  adamant about not installing anything on the building until we had a service order ","Arbor Creek Apartments 
Property Management
Satyam Mistry
10306 Rosewater Pky
Bennington, NE 68007
(402) 339-2250 (p)
Sam Mistry w/ Silk Management Omaha <silkmanagementomaha@gmail.com> ","Arctic Properties LLC
True Owner- Satyam Mistry
10306 Rosewater Pky. Bennington, NE 68007
(402) 339-2250 (p)
(701) 238-8400 (p)
sbmistry1@gmail.com"
Site Data,NE,Omaha_MDU_Fontenelle Cottages,3450 N 45TH CT OMAHA NE 68104,12,0,6/15/2024,Omaha,RS,,,Closed - Lost,45541,Not Interested,"We have a FE ROE, but LL also denied drilling holes in bldg -",,,FE ROE but LL changed mind and did not want holes in bldg / ROE Denied ,"Fontenelle Cottages  12 units 
Tamara Schaefer - tschafer@holynamehousing.org","
LEO VAUGHAN MANOR LTD 
Parcel ID (PIN) - 1126490002
Property Address - 3450 N 45 CT "
Site Data,NE,NE_MDU_LARIMORE SENIOR LIVING,3483 LARIMORE AVE UNIT 1 OMAHA NE 68111,23,0,11/28/2023,NE,RS,,,Data Issue,46057,Other,PAL in progress ,,,Melissa Baker working on PAL ,Larimore Sr. Living Residences  (402-672-4149),"Larimore Sr. Living Residences
(402-672-4149)"
Site Data,NE,Omaha_MDU_Lodestone Apartments,"3525 EVANS ST UNIT 1 OMAHA NE 68111
Lodestone Apartments ",20,0,6/15/2024,Omaha,RS,,,Closed - Lost,45575,Not Interested,"LL Denied Access - Mary Johnson - owner, she runs this property as an airbnb ",,,DENIED ACCESS ,"Parcel ID (PIN) - 0541830002
Owner - 36TH & EVANS LLC 
Property Address - 3525 EVANS ST ","36TH & EVANS LLC 
11640 Calhoun Rd, Omaha, NE 68152
(402) 397-0800 (p)"
Site Data,NE,Omaha_MDU_4005 Hartman Circle,4005 HARTMAN CIR UNIT 1 OMAHA NE 68111,10,1,6/30/2025,Omaha,RS,45698,,Completed,45698,,ROE obtained,,,ROE Obtained ,"Julius Davis 
Davis Contracting LLC   info@daviscontractingllc.org / 402-298-3493","Julius Davis 
Davis Contracting LLC   info@daviscontractingllc.org / 402-298-3493"
Site Data,NE,Omaha_MDU_4015 HAMILTON ST,4015 HAMILTON ST UNIT 1 OMAHA NE 68131,10,0,11/3/2025,Omaha,RS,45987,,Completed,45987,,ROE obtained,,,ROE obtained,"Paladino Development 
(402) 763-0311 (p) 
Victor Ramirez  402-708-1211  pdgdirector@paladinodevelopmentgroup.com","Paladino Development Group
(402) 763-0311 (p) 
Victor Ramirez  402-708-1211  pdgdirector@paladinodevelopmentgroup.com
associated address: 4822- 4826 Sahler St.  (2 blds 9 apts ea) "
