Id,Name,Property_Address,Property_City,Property_State,reason,extra
006WR00000wkAC7YAM,Sofi Shadowridge,"1850 Shadowridge Drive, Vista, CA, USA",Vista,CA,no_addressMatches,street='1850 Shadowridge Drive' city='Vista' state='CA'
006WR00000wkACIYA2,"Sun City, Georgetown, TX","Sun City, Georgetown, TX, USA",Georgetown,TX,no_addressMatches,street='Sun City' city='Georgetown' state='TX'
006WR00000wkAUhYAM,Falls at Legend Trail,"Lowell Blvd, Broomfield, CO, USA",Broomfield,CO,no_addressMatches,street='Lowell Blvd' city='Broomfield' state='CO'
006WR00000wkAVXYA2,The Boulders,"Colorado 42, Lafayette, CO, USA",Lafayette,CO,no_addressMatches,street='Colorado 42' city='Lafayette' state='CO'
006WR00000wkAk8YAE,Camp Pendleton,"98 San Jacinto Road, Oceanside, CA, USA",Oceanside,CA,no_addressMatches,street='98 San Jacinto Road' city='Oceanside' state='CA'
006WR00000wkAsQYAU,The Alyssa,"98 South River Drive, Tempe, AZ, USA",Tempe,AZ,no_addressMatches,street='98 South River Drive' city='Tempe' state='AZ'
006WR00000wkAsbYAE,The Cameron,"2062 E Cameron Way, Tempe, AZ, USA",Tempe,AZ,no_addressMatches,street='2062 E Cameron Way' city='Tempe' state='AZ'
006WR00000wkBFaYAM,Long Meadow MHP,"New York 336, Waterloo, NY, USA",Seneca County,NY,no_addressMatches,street='New York 336' city='Seneca County' state='NY'
006WR00000wkBGTYA2,Trax at Cooley Station,SWC of Williams Field Road and Verde Drive Gilbert AZ,Gilbert,AZ,no_addressMatches,street='SWC of Williams Field Road and Verde Drive Gilbert AZ' city='Gilbert' state='AZ'
006WR00000wkBTrYAM,5320-5326.5 S. Drexel Boulevard,5320-5326.5 S. Drexel Boulevard,Chicago,IL,no_addressMatches,street='5320-5326.5 S. Drexel Boulevard' city='Chicago' state='IL'
006WR00000wkBUkYAM,Algonquin Apartments,606 E Hyde Park Blvd,Chicago,IL,no_addressMatches,street='606 E\xa0Hyde\xa0Park\xa0Blvd' city='Chicago' state='IL'
006WR00000wkBVFYA2,Crystal Falls Crossing,"2702 South Bagdad Road, Leander, TX, USA",Austin,TX,no_addressMatches,street='2702 South Bagdad Road' city='Austin' state='TX'
006WR00000wkBoRYAU,Sunrise Solar,"1 Solar Way, Latham, NY, USA",Latham,NY,no_addressMatches,street='1 Solar Way' city='Latham' state='NY'
006WR00000wkBoTYAU,Mohawk River Apartments,"3 Nautical Way North, Cohoes, NY, USA",Cohoes,NY,no_addressMatches,street='3 Nautical Way North' city='Cohoes' state='NY'
006WR00000wkBoYYAU,Draper Lofts,"901 Draper Avenue, Rotterdam, NY, USA",Rotterdam,NY,no_addressMatches,street='901 Draper Avenue' city='Rotterdam' state='NY'
006WR00000wkBopYAE,San Marquis,"340 Crosstown Blvd, Chaska, MN, USA",Tempe,AZ,no_addressMatches,street='340 Crosstown Blvd' city='Tempe' state='AZ'
006WR00000wkBorYAE,La Vina,"4601 Gerrilyn Way, Livermore, CA, USA",Livermore,CA,no_addressMatches,street='4601 Gerrilyn Way' city='Livermore' state='CA'
006WR00000wkBpEYAU,University Club Apartments,"1725 North Lake Brazos Parkway, Waco, TX, USA",Austin,TX,no_addressMatches,street='1725 North Lake Brazos Parkway' city='Austin' state='TX'
006WR00000wkBqGYAU,Parc Plaza,"333 E Denton Dr, Euless, TX, USA",Fort Worth,TX,no_addressMatches,street='333 E Denton Dr' city='Fort Worth' state='TX'
006WR00000wkC6ZYAU,Ocean Hills 55+,"4500 Cannon Road, Oceanside, CA, USA",Oceanside,CA,no_addressMatches,street='4500 Cannon Road' city='Oceanside' state='CA'
006WR00000wkC6aYAE,Immanuel Village,"Immanuel Village, North 68th Plaza, Omaha, NE, USA",Omaha,NE,no_addressMatches,street='Immanuel Village' city='Omaha' state='NE'
006WR00000wkC6oYAE,The Piedmont,"Parking lot, East 6th Street, Tempe, AZ, USA",Tempe,AZ,no_addressMatches,street='Parking lot' city='Tempe' state='AZ'
006WR00000wkC6vYAE,Park View Terrace,"1601 Barton Rd, Redlands, CA, USA",Redlands,CA,no_addressMatches,street='1601 Barton Rd' city='Redlands' state='CA'
006WR00000wkClGYAU,The Grove at Killeen,"4101 East Rancier Avenue, Killeen, TX, USA",Asset Living,TX,no_addressMatches,street='4101 East Rancier Avenue' city='Asset Living' state='TX'
006WR00000wkCluYAE,SkyView AKA Hoodview Apartments,"1320 Wales Drive, Killeen, TX, USA",Asset Living,TX,no_addressMatches,street='1320 Wales Drive' city='Asset Living' state='TX'
006WR00000wkCm5YAE,Enclave on Golden Triangle Apartments,"5001 Golden Triangle Boulevard, Fort Worth, TX, USA",Fort Worth,TX,no_addressMatches,street='5001 Golden Triangle Boulevard' city='Fort Worth' state='TX'
006WR00000wkDLsYAM,Williamson At The Overlook,"1 Gabriels Bluff Drive, Georgetown, TX, USA",Georgetown,TX,no_addressMatches,street='1 Gabriels Bluff Drive' city='Georgetown' state='TX'
006WR00000wkDNZYA2,Block C at North City,"250 North City Drive, San Marcos, CA, USA",San Marcos,CA,no_addressMatches,street='250 North City Drive' city='San Marcos' state='CA'
006WR00000wkDNtYAM,Hollydale Mobile Home Estates,"5700 Carbon Canyon Rd, Brea, CA, USA",Brea,CA,no_addressMatches,street='5700 Carbon Canyon Rd' city='Brea' state='CA'
006WR00000wkDOYYA2,Melrose Villa Apartments,"1820 Melrose Drive, San Marcos, CA, USA",San Marcos,CA,no_addressMatches,street='1820 Melrose Drive' city='San Marcos' state='CA'
006WR00000wkDOZYA2,Rancho Vallecitos,"3535 Linda Vista Drive, San Marcos, CA, USA",San Marcos,CA,no_addressMatches,street='3535 Linda Vista Drive' city='San Marcos' state='CA'
006WR00000wkDOnYAM,Highlands Mobile Home Park,"7467 Mission Gorge Rd, Santee, CA, USA",Santee,CA,no_addressMatches,street='7467 Mission Gorge Rd' city='Santee' state='CA'
006WR00000wkDsxYAE,Highlander Apartments,"308 Hall Avenue, Killeen, TX, USA",Killeen,TX,no_addressMatches,street='308 Hall Avenue' city='Killeen' state='TX'
006WR00000wkF0KYAU,Aspen Grove,"9451 Vernon Plz, Omaha, NE, USA",Omaha,NE,no_addressMatches,street='9451 Vernon Plz' city='Omaha' state='NE'
006WR00000y24mZYAQ,Solana Beach_MDU_Surfsong Condos,,Solana Beach,CA,missing_field,street='' city='Solana Beach' state='CA'
006WR00000y2DuoYAE,Solana Beach_MDU_Seascape Chateau,,Solana Beach,CA,missing_field,street='' city='Solana Beach' state='CA'
006WR00000y2k2dYAA,Omaha_MDU_3344-3348 Larimore Ave,,Omaha,NE,missing_field,street='' city='Omaha' state='NE'
006WR00000y3NdSYAU,Omaha_MDU_Benson Crest Apartments 2,,Omaha,NE,missing_field,street='' city='Omaha' state='NE'
006WR00000y3iV0YAI,Solana Beach_MDU_Seascape Shores Condos,,Solana Beach,CA,missing_field,street='' city='Solana Beach' state='CA'
006WR00000y3jsTYAQ,Encinitas_MDU_Saxonay at Encinitas Ranch,,Encinitas,CA,missing_field,street='' city='Encinitas' state='CA'
006WR00000y3jyvYAA,Omaha_MDU_4612 Redman Ave,,Omaha,NE,missing_field,street='' city='Omaha' state='NE'
006WR00000y3k29YAA,Omaha_MDU_9208 Ohio St,,Omaha,NE,missing_field,street='' city='Omaha' state='NE'
006WR00000y3k5NYAQ,Decatur_MDU_Smallwood Trailer Park,,Decatur,TX,missing_field,street='' city='Decatur' state='TX'
006WR00000y46nRYAQ,Omaha_MDU_Farnam Flats,,Omaha,NE,missing_field,street='' city='Omaha' state='NE'
006WR00000y4ekIYAQ,Mineral Wells_MDU_Shady Oak Circle Housing,"Shady Oak Cir, Mineral Wells, TX",Mineral Wells,TX,no_addressMatches,street='Shady Oak Cir' city='Mineral Wells' state='TX'
006WR00000yuYsYYAU,Montego Village HOA,Vizcayana Way/ Rancho Del Oro,Oceanside,CA,no_addressMatches,street='Vizcayana Way/ Rancho Del Oro' city='Oceanside' state='CA'
006WR00000yuxKdYAI,Mission Del Oro HOA,Mission Del Oro,Oceanside,CA,no_addressMatches,street='Mission Del Oro' city='Oceanside' state='CA'
006WR00000yvYteYAE,Manzanita Cove HOA,131 Manzanita Dr,Encinitas,CA,no_addressMatches,street='131 Manzanita Dr' city='Encinitas' state='CA'
006WR00000yvmgUYAQ,Cardiff Glen HOA,2100 Mackinnon Ave,Encinitas,CA,no_addressMatches,street='2100 Mackinnon Ave' city='Encinitas' state='CA'
006WR00000yw26xYAA,The Nest at La Costa,3482 Via Nido,Carlsbad,CA,no_addressMatches,street='3482 Via Nido' city='Carlsbad' state='CA'
006WR00000ywMAUYA2,"247-263 HWY 101 Solana Beach, CA",247-263 HWY 101 Solana Beach,CA,CA,no_addressMatches,street='247-263 HWY 101 Solana Beach' city='CA' state='CA'
006WR00000ywN6YYAU,On The Park HOA,camino cabrillo,Carlsbad,CA,no_addressMatches,street='camino cabrillo' city='Carlsbad' state='CA'
006WR00000ywTThYAM,Quail Gardens,Quail Gardens Lane,,CA,missing_field,street='Quail Gardens Lane' city='' state='CA'
006WR00000ywTVJYA2,1471 Rubenstein,1471,1475 Rubenstein,CA,no_addressMatches,street='1471' city='1475 Rubenstein' state='CA'
006WR00000ywTblYAE,"437 S Highway 101, 101-110",437 S Highway 101,101-110,CA,no_addressMatches,street='437 S Highway 101' city='101-110' state='CA'
006WR00000ywTdNYAU,"225 S. Hwy 101 , 17",225 S. HWY 101,17,CA,no_addressMatches,street='225 S. HWY 101' city='17' state='CA'
006WR00000ywTezYAE,San Ito,San Ito Place,Encinitas,CA,no_addressMatches,street='San Ito Place' city='Encinitas' state='CA'
006WR00000ywTgbYAE,Surfsong,,Encinitas,CA,missing_field,street='' city='Encinitas' state='CA'
006WR00000ywU9dYAE,Sandy Point HOA,405 Sandy Point Rd,Encinitas,CA,no_addressMatches,street='405 Sandy Point Rd' city='Encinitas' state='CA'
006WR00000wjqDKYAY,Heritage at Brentwood,"900 Heritage Way, Brentwood, TN, USA",Brentwood,TX,state_mismatch,"zip=37027 matched=900 HERITAGE WAY, BRENTWOOD, TN, 37027"
006WR00000wk9ZeYAI,Glenwood Manor,"802 N 44th St, Omaha, NE 68131",Omaha,CA,state_mismatch,"zip=68131 matched=802 N 44TH ST, OMAHA, NE, 68131"
006WR00000wkCl3YAE,Meridian at the Hermitage,"5610 Old Hickory Blvd, Hermitage, TN, USA",Hermitage,TX,state_mismatch,"zip=37076 matched=5610 OLD HICKORY BLVD, HERMITAGE, TN, 37076"
