Id,Name,field,action,old_value,new_value
006WR00000xvDg7YAE,Omaha_MDU_817 N 47th St,Management_Company__c,updated,001WR00001e5P36YAE,001WR00001e5P36YAE
006WR00001FlRjaYAF,Omaha_MDU_Omaha Housing Authority Benson Tower,Management_Company__c,updated,001WR00001d9HFZYA2,001WR00001d9HFZYA2
006WR00000wj8KsYAI,Pine Tree Apartments,Management_Company__c,updated,001WR00001d9HFZYA2,001WR00001d9HFZYA2
006WR00000wkDswYAE,Crown Tower,Management_Company__c,updated,001WR00001d9HFZYA2,001WR00001d9HFZYA2
006WR00000wkDtNYAU,Omaha_MDU_Cherry Tree Apartments,Management_Company__c,updated,001WR00001d9HFZYA2,001WR00001d9HFZYA2
006WR00000wkDt5YAE,Underwood Senior Housing,Management_Company__c,updated,001WR00001d9HFZYA2,001WR00001d9HFZYA2
006WR00000wkAr4YAE,Parkwood Terrace,Management_Company__c,updated,,001WR00000fAT5zYAG
006WR00000wkA6WYAU,Dundee Flats,Management_Company__c,updated,,001WR00000fAT5zYAG
006WR00000wkFc4YAE,The Duke,Management_Company__c,updated,,001WR00000fAT5zYAG
006WR00000xwFmHYAU,Omaha_MDU_Roosevelt Apartments,Management_Company__c,updated,,001WR00000fAT5zYAG
006WR00000wiNonYAE,Wyndham Villas - Broadmoor,Management_Company__c,updated,001WR00001e63TZYAY,001WR00001e63TZYAY
006WR00000wkFc0YAE,OMAHA_MDU_London Square Apartments,Management_Company__c,updated,001WR00001e63TZYAY,001WR00001e63TZYAY
006WR00000wjnlZYAQ,Bentley By Broadmoor,Management_Company__c,updated,001WR00001e63TZYAY,001WR00001e63TZYAY
006WR00000wkA7zYAE,Wyndham Hill,Management_Company__c,updated,,001WR00001e63TZYAY
006WR00000wkDtaYAE,Peony Park West Apartments,Management_Company__c,updated,001WR00001e5VRsYAM,001WR00001e5VRsYAM
006WR00000xvwoUYAQ,Omaha_MDU_4704 Cass St,Management_Company__c,updated,001WR00001e5VRsYAM,001WR00001e5VRsYAM
006WR00000xwF6LYAU,Omaha_MDU_302 N 48th St,Management_Company__c,updated,001WR00001e5VRsYAM,001WR00001e5VRsYAM
006WR00000wkA8VYAU,Copperstone Apartments,Management_Company__c,updated,001WR00001cYTaiYAG,001WR00001cYTaiYAG
006WR00000wkDsJYAU,Courtyard 72,Management_Company__c,updated,001WR00001cYTaiYAG,001WR00001cYTaiYAG
006WR00000wkFbuYAE,Keystone Ridge,Management_Company__c,updated,001WR00001cYTaiYAG,001WR00001cYTaiYAG
006WR00000wj8KaYAI,The Village at Grant Square,Management_Company__c,updated,001WR00001dFpPvYAK,001WR00001dFpPvYAK
006WR00000wkFbzYAE,The Arthur Apartments,Management_Company__c,updated,001WR00001dFpPvYAK,001WR00001dFpPvYAK
006WR00000xvCKIYA2,Omaha_MDU_Ambassador Apartments,Management_Company__c,updated,,001WR00001dFpPvYAK
006WR00000xwFXlYAM,Omaha_MDU_4509 Lafayette Ave,Management_Company__c,updated,001WR00001e5ob2YAA,001WR00001e5ob2YAA
006WR00000xwFazYAE,Omaha_MDU_4524 Lafayette Ave,Management_Company__c,updated,001WR00001e5ob2YAA,001WR00001e5ob2YAA
006WR000011cWvRYAU,Sandra Ann Apartments,Management_Company__c,updated,,001WR00001e5ob2YAA
006WR00001DGZ6fYAH,Blondo Crest Apartments,Management_Company__c,updated,,001WR00001eGy2HYAS
006WR00000wkA8tYAE,Corby Castle Apts,Management_Company__c,updated,,001WR00001eGy2HYAS
006WR00000wkFc2YAE,Clifton Terrace Apartments,Management_Company__c,updated,,001WR00001eGy2HYAS
006WR00000xvk2bYAA,Omaha_MDU_Buckingham Manor Apartments,Management_Company__c,updated,,001WR00001d9EMZYA2
006WR00000xvk0wYAA,Omaha_MDU_4902_4904 N Chicago St,Management_Company__c,updated,001WR00001d9EMZYA2,001WR00001d9EMZYA2
006WR00000xv1n4YAA,Omaha_MDU_409 N 49th St,Management_Company__c,updated,001WR00001d9EMZYA2,001WR00001d9EMZYA2
006WR00000xwFO5YAM,Omaha_MDU_Rue Charles Apartments,Management_Company__c,updated,,001WR00001eFsNBYA0
006WR00000xv9KmYAI,Omaha_MDU_Century House Apartments,Management_Company__c,updated,,001WR00001eFsNBYA0
006WR00000wj8KeYAI,Peony Village,Management_Company__c,updated,001WR00001e5pjwYAA,001WR00001e5pjwYAA
006WR00000wkCjDYAU,Villa Vinee Apartments,Management_Company__c,updated,001WR00001e5pjwYAA,001WR00001e5pjwYAA
006WR00000xwG5dYAE,Omaha_MDU_4955-4957 Cuming St,Management_Company__c,updated,001WR00001e4wVnYAI,001WR00001e4wVnYAI
006WR00000wkDMDYA2,Charter Oaks,Management_Company__c,updated,001WR00001e4wVnYAI,001WR00001e4wVnYAI
006WR00000xwEwfYAE,OMAHA_MDU_1410 N 45th St_APTS,Management_Company__c,updated,001WR00001e5lRpYAI,001WR00001e5lRpYAI
006WR00000xw8eMYAQ,Omaha_MDU_Cherry Hill Apts,Management_Company__c,updated,001WR00001e5lRpYAI,001WR00001e5lRpYAI
006WR00000wkCjqYAE,Hillside Rows Apts,Management_Company__c,updated,,001WR00001eGy3tYAC
006WR00000wkF0KYAU,Aspen Grove,Management_Company__c,updated,,001WR00001eGy3tYAC
006WR00001DP0rIYAT,Chalet Apartments,Management_Company__c,updated,001WR00001e7DVdYAM,001WR00001e7DVdYAM
006WR00000wk9SjYAI,Chalet Apartments,Management_Company__c,updated,001WR00001e7DVdYAM,001WR00001e7DVdYAM
006WR00000wkDtOYAU,OMAHA_MDU_58TH_Plaza_CIR,Management_Company__c,updated,,001WR00001eEvoaYAC
006WR00000wkA8wYAE,Cypress Pointe II Apartment Complex,Management_Company__c,updated,,001WR00001eEvoaYAC
006WR00000wkClzYAE,Woodland Pines,Management_Company__c,updated,,001WR00001eEfocYAC
006WR00000wkDMJYA2,Beacon Hill Apartments,Management_Company__c,updated,,001WR00001eEfocYAC
006WR00000xvdKRYAY,Omaha_MDU_4804-4806 Capital Ave,Management_Company__c,updated,001WR00001e6tIQYAY,001WR00001e6tIQYAY
006WR00000wk9S0YAI,Kirshenbaum Apartments,Management_Company__c,updated,001WR00001e6tIQYAY,001WR00001e6tIQYAY
006WR000011bcuxYAA,Ville de Sante Apartments,Management_Company__c,updated,001WR00001e6C0ZYAU,001WR00001e6C0ZYAU
006WR00000wkA8nYAE,Ville de Sante Terrace Apartments (1),Management_Company__c,updated,001WR00001e6C0ZYAU,001WR00001e6C0ZYAU
006WR00000wkCkxYAE,Hamilton Village,Management_Company__c,updated,,001WR00001eGtfKYAS
006WR00000wkA7pYAE,Whispering Pines Townhomes,Management_Company__c,updated,,001WR00001eGtfKYAS
006WR00000xvElsYAE,Omaha_MDU_1016 N 47TH AVE,Management_Company__c,updated,,001WR00001eG6TKYA0
006WR00000wkDt7YAE,Grant Ridge Apartments,Management_Company__c,updated,,001WR00001eG6TKYA0
006WR00000xw49MYAQ,Omaha_MDU_4544 NICHOLAS ST,Management_Company__c,updated,,001WR00001eGy77YAC
006WR00000xwFXmYAM,Omaha_MDU_818 N 46th St,Management_Company__c,updated,,001WR00001eGy77YAC
006WR00000xwGTpYAM,Omaha_MDU_915 N 48TH ST,Management_Company__c,updated,001WR00001e7DaTYAU,001WR00001e7DaTYAU
006WR00000xviARYAY,Omaha_MDU_9214-9224 Ohio St,Management_Company__c,updated,001WR00001e7DaTYAU,001WR00001e7DaTYAU
006WR00000xw0IcYAI,Omaha_MDU_Papio Valley Apartments,Management_Company__c,updated,,001WR00001JWxRaYAL
006WR00000wkA6dYAE,Howard Street,Management_Company__c,updated,,001WR00001eGy8jYAC
006WR00000wkA7oYAE,Terrace Garden Apartments,Management_Company__c,updated,,001WR00001eGy8jYAC
