SF_Id,ST_Build_Status,ST_Activation_Actual,Source,Timestamp,Action
006WR00000wkEb9YAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEZfYAM,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEZpYAM,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEcHYAU,4. Project - Completed,2023-05-11,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEcOYAU,4. Project - Completed,2024-03-07,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDu0YAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEcpYAE,4. Project - Completed,2023-11-17,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEcNYAU,4. Project - Completed,2024-09-30,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDu2YAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDu1YAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEa1YAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEcYYAU,4. Project - Completed,2024-06-21,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEcWYAU,4. Project - Completed,2024-11-04,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEclYAE,4. Project - Completed,2024-05-31,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEbIYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEbMYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDuzYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEakYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEahYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEbNYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wk1EWYAY,4. Project - Completed,2025-03-31,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wk1EUYAY,4. Project - Completed,2025-03-31,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEafYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEamYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEaSYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEbmYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEagYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEaQYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEaoYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEanYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000xuzq7YAA,4. Project - Completed,2025-05-23,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEaaYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEaVYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEapYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEaXYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEZnYAM,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEbKYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEbLYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000xvYz4YAE,3. Project - Construction Phase,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEalYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEaTYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEajYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDurYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDulYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDupYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEasYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDujYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEarYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDuSYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDuRYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDu6YAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEaLYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEa0YAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDuNYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEZzYAM,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEaqYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDusYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEaYYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wk1EVYAY,4. Project - Completed,2025-03-31,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEaUYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEaWYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEabYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEacYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEadYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDunYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000xvBUcYAM,4. Project - Completed,2025-12-31,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDuhYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wk1EEYAY,4. Project - Completed,2024-09-17,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDuvYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDuuYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDv7YAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEcZYAU,4. Project - Completed,2024-08-22,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEZxYAM,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEa9YAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEc4YAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDuDYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDv3YAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEaBYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEaDYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDv5YAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDuLYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDv9YAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDvBYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDu9YAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEbbYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEa2YAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEaAYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEa7YAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEaFYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEaGYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDv1YAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDuxYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEa3YAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEaCYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEa5YAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDuMYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEa8YAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEaEYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEa4YAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEcdYAE,4. Project - Completed,2024-11-13,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDubYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDuVYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDufYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wk1EYYAY,4. Project - Completed,2025-03-31,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEaJYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDuZYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEaHYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEauYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDuXYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEZdYAM,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDudYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEavYAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDvDYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDvHYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEcgYAE,4. Project - Completed,2024-12-19,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wk1ELYAY,4. Project - Completed,2025-05-13,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDu7YAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEcbYAE,4. Project - Completed,2024-11-13,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEcmYAE,4. Project - Completed,2025-01-10,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDu8YAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEcnYAE,4. Project - Completed,2024-12-19,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEccYAE,4. Project - Completed,2023-01-01,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDttYAE,4. Project - Completed,2023-01-01,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wk1EhYAI,4. Project - Completed,2023-01-01,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDuQYAU,5. Project - Pending Business Case Approval,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEchYAE,4. Project - Completed,2023-01-01,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEciYAE,4. Project - Completed,2023-01-01,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEb4YAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEaNYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wk1EZYAY,4. Project - Completed,2025-08-12,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEcJYAU,4. Project - Completed,2025-06-30,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDuCYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wk1EoYAI,4. Project - Completed,2025-12-31,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wk1ENYAY,4. Project - Completed,2025-06-17,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wk1EQYAY,4. Project - Completed,2025-06-17,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wk1EOYAY,4. Project - Completed,2025-06-17,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDu5YAE,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEcPYAU,4. Project - Completed,2025-04-28,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkEcoYAE,4. Project - Completed,2025-01-31,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000y3jsTYAQ,4. Project - Completed,2026-03-03,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000xvyiEYAQ,4. Project - Completed,2025-01-17,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000y2k2dYAA,4. Project - Completed,2025-01-17,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkACEYA2,4. Project - Completed,2025-04-28,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wk1EGYAY,4. Project - Completed,2025-04-22,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkACFYA2,4. Project - Completed,2025-01-22,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
006WR00000wkDuIYAU,1. Project - PAL/ROE Signed,,SiteTracker_Project__c primary,2026-05-21T20:24:34.330126+00:00,update
