IronClad_Id__c,Record_Type_IC__c,Stage_IC__c,MDU_or_BUS__c,Property_State__c,Property_Address__c,Counterparty_Name__c,Record_Name__c,Agreement_Date__c,Workflow_Created_Date__c,Workflow_Completed_Date__c,Last_Activity_Action__c
IC-687,Right of Entry Agreement,,MDU,Nebraska,"4005 Hartman Circle, Omaha, Nebraska 68111, United States","Davis Contracting, LLC","Right of Entry Agreement with Davis Contracting, LLC",2025-02-28,2025-06-18,,
IC-333,Right of Entry Agreement,,BUS,Texas,"6241-6233 E Hwy 114, Boyd, Texas 76023, United States",114 Collision Center - NRG Performance - Texas Born Performance,Right of Entry Agreement with All Suites @ TX114 Business Park Location,2024-10-06,2025-06-09,,
IC-331,Right of Entry Agreement,,BUS,Texas,"5500 North Tarrant Parkway, Suite 128, Fort Worth, Texas 76244, United States",Ketos Creative,Right of Entry Agreement with Ketos Creative,2024-06-24,2025-06-09,,
IC-2706,Right of Entry Agreement,,BUS,Texas,"12195 North Saginaw Boulevard, Fort Worth, Texas 76179, United States",CAJ Investments,Right of Entry Agreement with CAJ Investments,2024-04-22,2026-02-10,,
IC-673,Right of Entry Agreement,,,,,Boy,Right of Entry Agreement with Boyd Housing,2024-10-22,2025-06-18,,
IC-1776,Right of Entry Agreement,cancelled,,Nebraska,"4723 Cass Street, PIN 1626710000, Omaha, Nebraska 68132, USA",Harvest Development V LLC,Right of Entry Agreement with Harvest Development V LLC,2025-11-03,2025-11-03,,Workflow canceled
IC-1705,Right of Entry Agreement,cancelled,,Nebraska,"4648 Cuming Street, PIN 2405420000, Omaha, Nebraska 68132, United States",South O LLC,Right of Entry Agreement with South O LLC,2025-10-21,2025-10-21,,Workflow canceled
IC-2235,Right of Entry Agreement,cancelled,MDU,Nebraska,"108 South 49th Avenue, Omaha, Nebraska 68132, United States",KATHLEEN FAIER LIVING TRUST C/O FAIER PROPERTIES,Right of Entry Agreement with KATHLEEN FAIER LIVING TRUST C/O FAIER PROPERTIES,2026-01-22,2026-01-22,,Workflow canceled
IC-2110,Right of Entry Agreement,cancelled,MDU,Nebraska,"4724 Davenport Street, Parcel ID 1627290000, Omaha, Nebraska 68132, United States","JBI-MIDOMA1, LLC / Jerry Banks Group","Right of Entry Agreement with JBI-MIDOMA1, LLC / Jerry Banks Group",2025-12-21,2025-12-21,,Workflow canceled
IC-2974,Right of Entry Agreement,cancelled,BUS,Texas,"1120 Blue Mound Road West, Haslet, Texas 76052, United States",RDS Real Estate,Right of Entry Agreement with RDS Real Estate,2026-03-24,2026-03-24,,Workflow canceled
IC-2931,Right of Entry Agreement,cancelled,BUS,Nebraska,"6105 North 89th Circle, Omaha, Nebraska 68134, United States",3 LAB REALTY LLC,Right of Entry Agreement with 3 LAB REALTY LLC,2026-03-18,2026-03-18,,Workflow canceled
IC-1787,Right of Entry Agreement,cancelled,,Nebraska,"818 North 46th Street, Parcel ID2435910000, Omaha, Nebraska 68132, United States",Dundee Village LLC,Right of Entry Agreement with Dundee Village LLC,2025-11-12,2025-11-12,,Workflow canceled
IC-2248,Right of Entry Agreement,cancelled,MDU,Nebraska,"1014 North 48th Avenue, Omaha, Nebraska 68132, United States",Gold Leaf Properties LLC,Right of Entry Agreement with Gold Leaf Properties LLC,2026-01-23,2026-01-23,,Workflow canceled
IC-2219,Right of Entry Agreement,cancelled,HOA,Nebraska,"4903 Capitol Avenue, Property ID 944320012, Omaha, Nebraska 68132, United States",Jerry Banks Group,Right of Entry Agreement with Jerry Banks Group,2026-01-20,2026-01-21,,Workflow canceled
IC-2663,Right of Entry Agreement,cancelled,MDU,Nebraska,"4723 Cass Street, Omaha, Nebraska 68132, United States",HARVEST DEVELOPMENT V LLC,Right of Entry Agreement with HARVEST DEVELOPMENT V LLC,2026-02-02,2026-02-02,,Workflow canceled
IC-1878,Right of Entry Agreement,cancelled,,Nebraska,"4814 Burt St, Property ID 0753950002, Omaha, Nebraska 68132, United States",DLV LLC,Right of Entry Agreement with DLV LLC,2025-12-02,2025-12-02,,Email received
IC-1781,Right of Entry Agreement,cancelled,,Nebraska,"5102 Capitol Avenue, Parcel # 947260000, Omaha, Nebraska 68132, United States",TKC Capitol Avenue LLC,Right of Entry Agreement with TKC Capitol Avenue LLC,2025-11-05,2025-11-05,,Workflow canceled
IC-1860,Right of Entry Agreement,cancelled,,Nebraska,"1318 North 40th Street, Parcel ID 2538400001, Omaha, Nebraska 68131, United States",Kanaya Real Estate,Right of Entry Agreement with Kanaya Real Estate,2025-11-26,2025-11-26,,Workflow canceled
IC-2655,Right of Entry Agreement,cancelled,MDU,Nebraska,"4437 Franklin Street, Omaha, Nebraska 68111, United States",Flipping Flanagans LLC,Right of Entry Agreement with Flipping Flanagans LLC,2026-02-01,2026-02-01,,Workflow canceled
IC-2157,Right of Entry Agreement,cancelled,MDU,Nebraska,"3483 Larimore Avenue, Parcel ID (PIN) - 1801190005, Omaha, Nebraska 68111, United States",L AVENUE 3483 LIMITED PARTNER,Right of Entry Agreement with L AVENUE 3483 LIMITED PARTNER,2026-01-09,2026-01-09,,Workflow canceled
IC-2128,Right of Entry Agreement,cancelled,MDU,Nebraska,"608 North 50th Street & 622 N 50th Street, Parcel ID 948820000, Omaha, Nebraska 68132, United States",Arlon Hunt LLC,Right of Entry Agreement with Arlon Hunt LLC,2026-01-05,2026-01-05,,Workflow canceled
IC-1782,Right of Entry Agreement,cancelled,,Nebraska,"706 North 50th Street, Parcel # 957230300, Omaha, Nebraska 68132, United States",Quad P LLC,Right of Entry Agreement with Quad P LLC,2025-11-05,2025-11-05,,Workflow canceled
IC-2678,Right of Entry Agreement,cancelled,MDU,Nebraska,"1825 NW Radial Hwy, Omaha, Nebraska 68104, United States",Brian McKernan,Right of Entry Agreement with Brian McKernan,2026-02-03,2026-02-04,,Email received
IC-2726,Right of Entry Agreement,cancelled,MDU,Nebraska,"1825 NW Radial Hwy, Northbrook Apartments, Omaha, Nebraska 68104, United States",BRK Real Estate II LLC,Right of Entry Agreement with BRK Real Estate II LLC,2026-02-12,2026-02-12,,Email received
IC-2867,Right of Entry Agreement,cancelled,BUS,Nebraska,"5103 Leavenworth Street, Omaha, Nebraska 68106, United States",Hynek Properties LLC,Right of Entry Agreement with Hynek Properties LLC,2026-03-04,2026-03-04,,Workflow canceled
IC-2234,Right of Entry Agreement,cancelled,MDU,Nebraska,"109 South 49th Avenue, Omaha, Nebraska 68132, United States",111 S 49th Ave LLC,Right of Entry Agreement with 111 S 49th Ave LLC,2026-01-22,2026-01-22,,Workflow canceled
IC-2106,Right of Entry Agreement,cancelled,MDU,Nebraska,"4825 Cass Street, Parcel ID 953230000, Omaha, Nebraska 68132, United States",JGC INVESTMENTS LLC,Right of Entry Agreement with JGC INVESTMENTS LLC,2025-12-21,2025-12-21,,Workflow canceled
IC-2105,Right of Entry Agreement,cancelled,MDU,Nebraska,"4822 Chicago St, Parcel ID 953240000, Omaha, Nebraska 68132, United States",JGC INVESTMENTS LLC,Right of Entry Agreement with JGC INVESTMENTS LLC,2025-12-21,2025-12-21,,Workflow canceled
IC-1880,Right of Entry Agreement,cancelled,,Nebraska,"4923 Webster Street, Property ID 951120000, Omaha, Nebraska 68132, United States",Carrie M Conway Trust,Right of Entry Agreement with Carrie M Conway Trust,2025-12-02,2025-12-02,,Workflow canceled
IC-2254,Right of Entry Agreement,cancelled,MDU,Nebraska,"1312 North 49th Avenue, Omaha, Nebraska 68132, United States",Watson Companies,Right of Entry Agreement with Watson Companies,2026-01-23,2026-01-23,,Workflow canceled
IC-1783,Right of Entry Agreement,cancelled,,Nebraska,"807 N. 50th Street & 814 N. 50th Avenue, Parcel ID 754450004, Omaha, Nebraska 68132, United States",Modesto Holdings LLC,Right of Entry Agreement with Modesto Holdings LLC,2025-11-06,2025-11-06,,Workflow canceled
IC-2881,Right of Entry Agreement,cancelled,BUS,Nebraska,"5103 Leavenworth Street, Omaha, Nebraska 68106, United States",Hynek Properties LLC,Right of Entry Agreement with Hynek Properties LLC,2026-03-05,2026-03-05,,Workflow canceled
IC-2878,Right of Entry Agreement,cancelled,BUS,Nebraska,"201-425 North 78th Street, Tower Plaza, Omaha, Nebraska 68114, United States",Dakota Real Estate Investment Trust,Right of Entry Agreement with Dakota Real Estate Investment Trust,2026-03-05,2026-03-05,,Email received
IC-2220,Right of Entry Agreement,cancelled,MDU,Texas,"2100 Trimmier Road, Parcel ID 60614, Killeen, Texas 76541, United States",Liberty Square Partnership,Right of Entry Agreement with Liberty Square Partnership,2026-01-21,2026-01-21,,Workflow canceled
IC-2660,Right of Entry Agreement,cancelled,MDU,Nebraska,"4544 Nicholas Street, Omaha, Nebraska 68132, United States",LAFAYETTE AND NICHOLAS APARTMENTS LLC,Right of Entry Agreement with LAFAYETTE AND NICHOLAS APARTMENTS LLC,2026-02-01,2026-02-02,,Workflow canceled
IC-1806,Right of Entry Agreement,cancelled,,Nebraska,"4916 California Street, Parcel ID 951430000, Omaha, Nebraska 68132, United States",LeavenWealth,Right of Entry Agreement with LeavenWealth,2025-11-12,2025-11-13,,Workflow canceled
IC-2109,Right of Entry Agreement,cancelled,MDU,Nebraska,"4713 Davenport Street, Parcel ID 715800000, Omaha, Nebraska 68132, United States",David Rasmussen,Right of Entry Agreement with David Rasmussen,2025-12-21,2025-12-21,,Workflow canceled
IC-2225,Right of Entry Agreement,cancelled,MDU,Nebraska,"4723 Cass Street, Omaha, Nebraska 68132, United States",Harvest Development V LLC,Right of Entry Agreement with Harvest Development V LLC,2026-01-21,2026-01-21,,Workflow canceled
IC-1762,Right of Entry Agreement,cancelled,,NE,"4728 & 4732 CASS ST OMAHA NE 68132., 1626620000, Omaha, NE 68132, USA",HARVEST DEVELOPMENT V LLC,Right of Entry Agreement with HARVEST DEVELOPMENT V LLC,2025-10-24,2025-10-24,,Workflow canceled
IC-2257,Right of Entry Agreement,cancelled,MDU,Nebraska,"1410 North 45th Street, Omaha, Nebraska 68132, United States",BSCB LLC,Right of Entry Agreement with BSCB LLC,2026-01-23,2026-01-23,,Workflow canceled
IC-2111,Right of Entry Agreement,cancelled,MDU,Nebraska,"4804 Capitol Avenue, Parcel ID 952920000, Omaha, Nebraska 68132, United States","4804-4806 Capitol, LLC/ Kirshenbaum Realty, LLC","Right of Entry Agreement with 4804-4806 Capitol, LLC/ Kirshenbaum Realty, LLC",2025-12-21,2025-12-21,,Workflow canceled
IC-2232,Right of Entry Agreement,cancelled,MDU,Nebraska,"1016 N 47th Ave, Halcyon Apartments, Omaha, Nebraska 68132, United States",Mary E. Vandenack / Alansco LTD,Right of Entry Agreement with Mary E. Vandenack / Alansco LTD,2026-01-22,2026-01-22,,Workflow canceled
IC-1807,Right of Entry Agreement,cancelled,,Nebraska,"817 North 47th Street, Parcel ID 1514640000, Omaha, Nebraska 68132, United States",Underwood Rentals LLC,Right of Entry Agreement with Underwood Rentals LLC,2025-11-12,2025-11-13,,Workflow canceled
IC-2983,Right of Entry Agreement,cancelled,MDU,Nebraska,"4902 California Street, Omaha, Nebraska 68132, United States",Parker8 LLC,Right of Entry Agreement with Parker8 LLC,2026-03-26,2026-03-26,,Workflow canceled
IC-2873,Right of Entry Agreement,cancelled,MDU,Kansas,"4524 Lafayette Avenue, Kansas City, Kansas 66104, United States",B3 Capital LLC,Right of Entry Agreement with B3 Capital LLC,2026-03-04,2026-03-04,,Workflow canceled
IC-1779,Right of Entry Agreement,cancelled,,Nebraska,"4730 Chicago Street, PIN # 1626720000, Omaha, Nebraska 68132, United States",ARIZIKIS CAPITAL LLC,Right of Entry Agreement with ARIZIKIS CAPITAL LLC,2025-11-04,2025-11-04,,Workflow canceled
IC-2107,Right of Entry Agreement,cancelled,MDU,Nebraska,"4817 Chicago Street, Parcel ID 953070002, Omaha, Nebraska 68132, United States",JGC INVESTMENTS LLC,Right of Entry Agreement with JGC INVESTMENTS LLC,2025-12-21,2025-12-21,,Workflow canceled
IC-2274,Right of Entry Agreement,cancelled,MDU,Nebraska,"406 N 49th Street & 4902 Chicago Street, Omaha, Nebraska 68132, USA",Glendale Properties LLC  c/o Pure Operating Management,Right of Entry Agreement with Glendale Properties LLC  c/o Pure Operating Management,2026-01-26,2026-01-26,,Workflow canceled
IC-2718,Right of Entry Agreement,cancelled,MDU,Nebraska,"4437 Franklin Street, Omaha, Nebraska 68111, United States",Bradley Flanagan,Right of Entry Agreement with Bradley Flanagan,2026-02-11,2026-02-11,,Workflow canceled
IC-2256,Right of Entry Agreement,cancelled,MDU,Nebraska,"1325 N 49th Ave, Omaha, Nebraska 68132, United States",Dundee Creek Apartments ETAL,Right of Entry Agreement with Dundee Creek Apartments ETAL,2026-01-23,2026-01-23,,Workflow canceled
IC-2879,Right of Entry Agreement,cancelled,MDU,Nebraska,"4713 Davenport Street, Omaha, Nebraska 68132, United States",David Rasmussen / 402 For Rent,Right of Entry Agreement with David Rasmussen / 402 For Rent,2026-03-05,2026-03-05,,Workflow canceled
IC-2661,Right of Entry Agreement,cancelled,MDU,Nebraska,"4713 Davenport Street, Omaha, Nebraska 68132, United States",David Rasmussen,Right of Entry Agreement with David Rasmussen,2026-02-01,2026-02-02,,Workflow canceled
IC-2658,Right of Entry Agreement,cancelled,MDU,Nebraska,"4524 Lafayette Avenue, Omaha, Nebraska 68132, United States",B3 Capital LLC,Right of Entry Agreement with B3 Capital LLC,2026-02-01,2026-02-01,,Email received
IC-736,Right of Entry Agreement,cancelled,,,"2815 North 81st Street
Overcomers Ministry Church
Omaha, Nebraska 68134
United States",Investors Realty,Right of Entry Agreement with Investors Realty,,2025-06-23,,Workflow canceled
IC-1755,Right of Entry Agreement,cancelled,,Nebraska,"4910 North 72nd Street, Parcel ID 0626010006, Omaha, Nebraska 68134, United States",Marian High School Inc.,Right of Entry Agreement with Marian High School Inc.,2025-10-22,2025-10-22,,Workflow canceled
IC-2268,Right of Entry Agreement,cancelled,MDU,NE,"2004 N 81st Court, Papio Valley Apartments, Omaha, NE 68104, USA",SDI Papio La Bonne Vie LLC,Right of Entry Agreement with SDI Papio La Bonne Vie LLC,2026-01-26,2026-01-26,,Workflow canceled
IC-2696,Right of Entry Agreement,cancelled,MDU,Nebraska,"4719 Wakeley Street, Omaha, Nebraska 68132, United States",MarCon Enteprises,Right of Entry Agreement with MarCon Enteprises,2026-02-07,2026-02-07,,Workflow canceled
IC-2137,Right of Entry Agreement,cancelled,MDU,Nebraska,"1806 Military Avenue, Parcel ID 2146740000, Omaha, Nebraska 68111, United States",Carol Christiansen,Right of Entry Agreement with Carol Christiansen,2026-01-07,2026-01-07,,Workflow canceled
IC-2654,Right of Entry Agreement,cancelled,MDU,Nebraska,"4311 Charles Street, Omaha, Nebraska 68131, United States",RUE CHARLES LLC,Right of Entry Agreement with RUE CHARLES LLC,2026-02-01,2026-02-01,,Workflow canceled
IC-2270,Right of Entry Agreement,cancelled,MDU,NE,"3025 Meredith Avenue, Omaha, NE 68111, USA",Allied Properties North c/o Lee & Associates,Right of Entry Agreement with Allied Properties North c/o Lee & Associates,2026-01-26,2026-01-26,,Workflow canceled
IC-2875,Right of Entry Agreement,cancelled,BUS,Nebraska,"821 North 47th Street, Omaha, Nebraska 68132, United States",Underwood Property Management,Right of Entry Agreement with Underwood Property Management,2026-03-04,2026-03-04,,Workflow canceled
IC-2874,Right of Entry Agreement,cancelled,MDU,Nebraska,"4621 Wakeley Street, Omaha, Nebraska 68132, United States",Watson Properties LLC,Right of Entry Agreement with Watson Properties LLC,2026-03-04,2026-03-04,,Workflow canceled
IC-2894,Right of Entry Agreement,cancelled,BUS,Nebraska,"1110 Nicholas Street, Omaha, Nebraska 68102, United States",Cizek Homes,Right of Entry Agreement with Cizek Homes,2026-03-09,2026-03-09,,Workflow canceled
IC-2657,Right of Entry Agreement,cancelled,MDU,Nebraska,"4509 Lafayette Avenue, Omaha, Nebraska 68132, United States",B3 Capital LLC,Right of Entry Agreement with B3 Capital LLC,2026-02-01,2026-02-01,,Workflow canceled
IC-2269,Right of Entry Agreement,cancelled,MDU,NE,"2313 N 72nd Street, Omaha, NE 68134, USA",Community Alliance Housing Co.,Right of Entry Agreement with Community Alliance Housing Co.,2026-01-26,2026-01-26,,Email received
IC-2156,Right of Entry Agreement,cancelled,MDU,Nebraska,"3483 Larimore Avenue, Parcel ID 1801190005, Omaha, Nebraska 68111, United States",Omaha Economic Development Corp,Right of Entry Agreement with Omaha Economic Development Corp,2026-01-09,2026-01-09,,Workflow canceled
IC-1775,Right of Entry Agreement,cancelled,,Nebraska,"4273 Cass Street, Omaha, Nebraska 68131, United States",Harvest Development V LLC,Right of Entry Agreement with Harvest Development V LLC,2025-11-03,2025-11-03,,Workflow canceled
IC-2275,Right of Entry Agreement,cancelled,MDU,NE,"1825 NW Radial Highway, Omaha, NE 68104, USA",BRK Real Estate II LLC  c/o Havenview Residential Managment,Right of Entry Agreement with BRK Real Estate II LLC  c/o Havenview Residential Managment,2026-01-26,2026-01-26,,Workflow canceled
IC-1811,Right of Entry Agreement,cancelled,,Nebraska,"5013 - 5015 California Street, Parcel ID 948480002, Omaha, Nebraska 68132, United States",Kirshenbaum Jeffrey A. ETAL,Right of Entry Agreement with Kirshenbaum Jeffrey A. ETAL,2025-11-13,2025-11-13,,Workflow canceled
IC-2681,Right of Entry Agreement,cancelled,MDU,Nebraska,"909 North 48th Avenue, Omaha, Nebraska 68132, United States",Nelsen Investments Ltd,Right of Entry Agreement with Nelsen Investments Ltd,2026-02-04,2026-02-04,,Workflow canceled
IC-2728,Right of Entry Agreement,cancelled,MDU,Wisconsin,"5204 North 60th Street, Milwaukee, Wisconsin 53218, United States",MBI Financing,Right of Entry Agreement with MBI Financing,2026-02-12,2026-02-12,,Workflow canceled
IC-2670,Right of Entry Agreement,cancelled,MDU,Nebraska,"4810 Boyd Street, Omaha, Nebraska 68104, United States",Bayview Apartments LLC,Right of Entry Agreement with Bayview Apartments LLC,2026-02-02,2026-02-03,,Email received
IC-2221,Right of Entry Agreement,cancelled,MDU,Texas,"2100 Trimmier Road, Killeen, Texas 76541, United States",Liberty Square Partnership,Right of Entry Agreement with Liberty Square Partnership,2026-01-21,2026-01-21,,Workflow canceled
IC-2985,Right of Entry Agreement,cancelled,BUS,Texas,"3116 Capital Way, Fort Worth, Texas 76244, United States",Crowe Property Partners LLC,Right of Entry Agreement with Crowe Property Partners LLC,2026-03-26,2026-03-26,,Email received
IC-2966,Right of Entry Agreement,cancelled,BUS,Texas,"1927 Golden Heights Road, Fort Worth, Texas 76177, United States",RDS Real Estate,Right of Entry Agreement with RDS Real Estate,2026-03-24,2026-03-24,,Workflow canceled
IC-2975,Right of Entry Agreement,cancelled,BUS,Texas,"2617 Blue Mound Road West, Haslet, Texas 76052, United States","CSG Capital Partners, LLC","Right of Entry Agreement with CSG Capital Partners, LLC",2026-03-24,2026-03-24,,Workflow canceled
IC-2685,Right of Entry Agreement,cancelled,MDU,Texas,"1202 North College Street, Killeen, Texas 76541, United States",John Gorske,Right of Entry Agreement with John Gorske,2026-02-04,2026-02-04,,Workflow canceled
IC-2969,Right of Entry Agreement,cancelled,BUS,Texas,"880 Blue Mound Rd W, Haslet, Texas 76052, United States",RDS Real Estate,Right of Entry Agreement with RDS Real Estate,2026-03-24,2026-03-24,,Workflow canceled
IC-2963,Right of Entry Agreement,cancelled,BUS,Texas,"15520 Hwy 114 Rd, Justin, Texas 76247, United States",AF Ventures,Right of Entry Agreement with AF Ventures,2026-03-24,2026-03-24,,Workflow canceled
IC-2982,Right of Entry Agreement,cancelled,BUS,Texas,"2175 E Southlake Blvd, Southlake, Texas 76092, United States",Shop Companies,Right of Entry Agreement with Shop Companies,2026-03-25,2026-03-25,,Workflow canceled
IC-2970,Right of Entry Agreement,cancelled,BUS,Texas,"1130 Blue Mound Rd W, Haslet, Texas 76052, United States",RDS Real Estate,Right of Entry Agreement with RDS Real Estate,2026-03-24,2026-03-24,,Workflow canceled
IC-2967,Right of Entry Agreement,cancelled,BUS,Texas,"1943 Golden Heights Road, Fort Worth, Texas 76177, United States",RDS Real Estate,Right of Entry Agreement with RDS Real Estate,2026-03-24,2026-03-24,,Workflow canceled
IC-2972,Right of Entry Agreement,cancelled,BUS,Texas,"1925 Golden Heights Road, Fort Worth, Texas 76177, United States",RDS Real Estate,Right of Entry Agreement with RDS Real Estate,2026-03-24,2026-03-24,,Workflow canceled
IC-2973,Right of Entry Agreement,cancelled,BUS,Texas,"850 Blue Mound Road West, Haslet, Texas 76052, United States",RDS Real Estate,Right of Entry Agreement with RDS Real Estate,2026-03-24,2026-03-24,,Workflow canceled
IC-2981,Right of Entry Agreement,cancelled,BUS,Texas,"2001 West Southlake Boulevard, Southlake, Texas 76092, United States",Shop Companies,Right of Entry Agreement with Shop Companies,2026-03-25,2026-03-25,,Workflow canceled
IC-1836,Right of Entry Agreement,cancelled,,Texas,"401 Turkey Creek Trail, Parcel ID B2800008001, Bridgeport, Texas 76426, United States",Turkey Creek Trail DNCM Holdings LLC,Right of Entry Agreement with Turkey Creek Trail DNCM Holdings LLC,2025-11-20,2025-11-20,,Workflow canceled
IC-2925,Right of Entry Agreement,cancelled,BUS,Texas,"610 North Austin Avenue, Georgetown, Texas 78626, United States","HW Georgetown, LLC","Right of Entry Agreement with HW Georgetown, LLC",2026-03-16,2026-03-16,,Workflow canceled
IC-2965,Right of Entry Agreement,cancelled,BUS,Texas,"1929 Golden Heights Road, Fort Worth, Texas 76177, United States",RDS Real Estate,Right of Entry Agreement with RDS Real Estate,2026-03-24,2026-03-24,,Workflow canceled
IC-2971,Right of Entry Agreement,cancelled,BUS,Texas,"1953 Golden Heights Rd, Fort Worth, Texas 76177, United States",RDS Real Estate,Right of Entry Agreement with RDS Real Estate,2026-03-24,2026-03-24,,Workflow canceled
