SF_Id,Agreement_Name,Action,Before,After,Opp,Source,Result,Timestamp
a0BWR0000083yDY2AY,AGR-0187,DELETE_PAL,PAL/Completed,(deleted),Bardsley Garden,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:46.564317
a0BWR0000083yDZ2AY,AGR-0188,DELETE_PAL,PAL/Completed,(deleted),Willows Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:47.045171
a0BWR0000083yDa2AI,AGR-0189,DELETE_PAL,PAL/Completed,(deleted),Marisol Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:47.391190
a0BWR0000083yDb2AI,AGR-0190,DELETE_PAL,PAL/Completed,(deleted),Shoreline Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:47.954600
a0BWR0000083yDc2AI,AGR-0191,DELETE_PAL,PAL/Completed,(deleted),Three Crown Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:48.557758
a0BWR0000083yDd2AI,AGR-0192,DELETE_PAL,PAL/Completed,(deleted),Pinecrest Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:49.150885
a0BWR0000083yDe2AI,AGR-0193,DELETE_PAL,PAL/Completed,(deleted),D Street Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:49.650392
a0BWR0000083yDf2AI,AGR-0194,DELETE_PAL,PAL/Completed,(deleted),Redwood Highway Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:50.201777
a0BWR0000083yDg2AI,AGR-0195,DELETE_PAL,PAL/Completed,(deleted),La Brea Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:50.768021
a0BWR0000083yDh2AI,AGR-0196,DELETE_PAL,PAL/Completed,(deleted),College Park,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:51.271645
a0BWR0000083yDi2AI,AGR-0197,DELETE_PAL,PAL/Completed,(deleted),The Ridge,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:51.722038
a0BWR0000083yDj2AI,AGR-0198,DELETE_PAL,PAL/Completed,(deleted),Persimmon Terrace Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:52.426266
a0BWR0000083yDk2AI,AGR-0199,DELETE_PAL,PAL/Completed,(deleted),Vista Torre,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:52.756344
a0BWR0000083yDm2AI,AGR-0201,DELETE_PAL,PAL/Completed,(deleted),Tuscana Townhomes,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:53.320033
a0BWR0000083yDn2AI,AGR-0202,DELETE_PAL,PAL/Completed,(deleted),Moonlight,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:53.686584
a0BWR0000083yDo2AI,AGR-0203,DELETE_PAL,PAL/Completed,(deleted),Porvenir Estates II,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:54.179779
a0BWR0000083yDp2AI,AGR-0204,DELETE_PAL,PAL/Completed,(deleted),Porvenir Estates I,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:54.780404
a0BWR0000083yDq2AI,AGR-0205,DELETE_PAL,PAL/Completed,(deleted),Huron Plaza,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:55.228651
a0BWR0000083yDr2AI,AGR-0206,DELETE_PAL,PAL/Completed,(deleted),Niland,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:55.694812
a0BWR0000083yDs2AI,AGR-0207,DELETE_PAL,PAL/Completed,(deleted),Placer West,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:56.154608
a0BWR0000083yDt2AI,AGR-0208,DELETE_PAL,PAL/Completed,(deleted),The Shadows Garden Apts,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:56.592873
a0BWR0000083yDu2AI,AGR-0209,DELETE_PAL,PAL/Completed,(deleted),Harvard,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:56.947740
a0BWR0000083yDv2AI,AGR-0210,DELETE_PAL,PAL/Completed,(deleted),12th & D Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:57.517748
a0BWR0000083yDw2AI,AGR-0211,DELETE_PAL,PAL/Completed,(deleted),Creekside Colony Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:57.998724
a0BWR0000083yDx2AI,AGR-0212,DELETE_PAL,PAL/Completed,(deleted),Park on Riley,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:58.536157
a0BWR0000083yDy2AI,AGR-0213,DELETE_PAL,PAL/Completed,(deleted),Sierra Oaks Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:59.079608
a0BWR0000083yE02AI,AGR-0215,DELETE_PAL,PAL/Completed,(deleted),Katy Creek,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:59.481327
a0BWR0000083yE12AI,AGR-0216,DELETE_PAL,PAL/Completed,(deleted),Breckenridge Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:19:59.954300
a0BWR0000083yE22AI,AGR-0217,DELETE_PAL,PAL/Completed,(deleted),Crestmoor Park South,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:20:00.418583
a0BWR0000083yE32AI,AGR-0218,DELETE_PAL,PAL/Completed,(deleted),Crestmoor Park West,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:20:00.929154
a0BWR0000083yE42AI,AGR-0219,DELETE_PAL,PAL/Completed,(deleted),Comanche Retirement Village,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:20:01.452238
a0BWR0000083yE52AI,AGR-0220,DELETE_PAL,PAL/Completed,(deleted),Dekalb Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:20:01.938792
a0BWR0000083yE62AI,AGR-0221,DELETE_PAL,PAL/Completed,(deleted),Colony Park Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:20:02.350481
a0BWR0000083yE72AI,AGR-0222,DELETE_PAL,PAL/Completed,(deleted),Camelot Square Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:20:02.791190
a0BWR0000083yE82AI,AGR-0223,DELETE_PAL,PAL/Completed,(deleted),Somervell Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:20:03.129114
a0BWR0000083yE92AI,AGR-0224,DELETE_PAL,PAL/Completed,(deleted),Glen Rose Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:20:03.699169
a0BWR0000083yEA2AY,AGR-0225,DELETE_PAL,PAL/Completed,(deleted),Emerald RV,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:20:04.293789
a0BWR0000083yEB2AY,AGR-0226,DELETE_PAL,PAL/Completed,(deleted),Allen's Point Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:20:04.768740
a0BWR0000083yED2AY,AGR-0228,DELETE_PAL,PAL/Completed,(deleted),Kaufman Retirement Village (fka Cedar Ridge),Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:20:05.123013
a0BWR0000083yEE2AY,AGR-0229,DELETE_PAL,PAL/Completed,(deleted),Commonwealth I,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:20:05.585070
a0BWR0000083yEF2AY,AGR-0230,DELETE_PAL,PAL/Completed,(deleted),Regal Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:20:05.916022
a0BWR0000083yEG2AY,AGR-0231,DELETE_PAL,PAL/Completed,(deleted),Waterwood Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:20:06.328869
a0BWR0000083yEH2AY,AGR-0232,DELETE_PAL,PAL/Completed,(deleted),Venus Retirement Village,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:20:06.841560
a0BWR0000083yEI2AY,AGR-0233,DELETE_PAL,PAL/Completed,(deleted),Whitney Place Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:20:07.220882
a0BWR0000083yEJ2AY,AGR-0234,DELETE_PAL,PAL/Completed,(deleted),Whitney Retirement Village,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:20:07.657781
a0BWR0000083yGR2AY,AGR-0366,DELETE_PAL,PAL/Completed,(deleted),Cedar Nettleton Apartments,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:20:08.116308
a0BWR0000083yJL2AY,AGR-0446,DELETE_PAL,PAL/Completed,(deleted),Haley Ranch Estates,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,ok,2026-06-05T14:20:08.727839
006WR00000ywT77YAE,Pacifica HOA,ADVANCE_STAGE,Prospects,PAL/ROE Complete,Pacifica HOA,Cleanup need Ironclad IDs - Taylor's Notes 6.5.26.xlsx,"error:Malformed request https://fun-power-747.my.salesforce.com/services/data/v59.0/sobjects/Opportunity/006WR00000ywT77YAE. Response content: [{'message': 'Sales Status can only be set during Prospects, Prospecting, or Engaged stages. Clear Sales Status before advancing past Engaged.', 'errorCode': 'FIELD_CUSTOM_VALIDATION_EXCEPTION', 'fields': ['Sales_Status__c']}]",2026-06-05T14:20:08.954808
006WR00000ywT77YAE,Pacifica HOA,ADVANCE_STAGE+CLEAR_SALES_STATUS,Prospects|SS=Contact Pending,PAL/ROE Complete|SS=None,Pacifica HOA,Taylor 6/5 notes (retry),ok,2026-06-05T14:20:45.516667
