opp_name,opp_id,opp_stage,change_kind,target,field,before,after
Kling Trio Apartments,006WR00000wkEafYAE,PAL/ROE Complete,PAL_FIELD,AGR-0834,Expiration_Date__c,,2043-11-01
Jaclyn Terrace,006WR00000wkEagYAE,PAL/ROE Complete,PAL_FIELD,AGR-0837,IronClad_ID__c,,IC-1152
Jaclyn Terrace,006WR00000wkEagYAE,PAL/ROE Complete,PAL_FIELD,AGR-0837,Expiration_Date__c,,2043-11-01
Brody Terrace (Riverside),006WR00000wkEahYAE,PAL/ROE Complete,PAL_FIELD,AGR-0840,IronClad_ID__c,,IC-1152
Brody Terrace (Riverside),006WR00000wkEahYAE,PAL/ROE Complete,PAL_FIELD,AGR-0840,Expiration_Date__c,,2043-11-01
Parkview Terrace,006WR00000wkEaiYAE,PAL/ROE Complete,PAL_FIELD,AGR-0843,IronClad_ID__c,,IC-1152
Parkview Terrace,006WR00000wkEaiYAE,PAL/ROE Complete,PAL_FIELD,AGR-0843,Expiration_Date__c,,2043-11-01
Roxanne Apartments,006WR00000wkEajYAE,PAL/ROE Complete,PAL_FIELD,AGR-0846,IronClad_ID__c,,IC-1152
Roxanne Apartments,006WR00000wkEajYAE,PAL/ROE Complete,PAL_FIELD,AGR-0846,Expiration_Date__c,,2043-11-01
Riverside Villa Apartments,006WR00000wkEakYAE,PAL/ROE Complete,PAL_FIELD,AGR-0849,IronClad_ID__c,,IC-1152
Riverside Villa Apartments,006WR00000wkEakYAE,PAL/ROE Complete,PAL_FIELD,AGR-0849,Expiration_Date__c,,2043-11-01
The Banyans,006WR00000wkEalYAE,PAL/ROE Complete,PAL_FIELD,AGR-0852,IronClad_ID__c,,IC-1152
The Banyans,006WR00000wkEalYAE,PAL/ROE Complete,PAL_FIELD,AGR-0852,Expiration_Date__c,,2043-11-01
Topanga Apartments,006WR00000wkEamYAE,PAL/ROE Complete,PAL_FIELD,AGR-0855,IronClad_ID__c,,IC-1152
Topanga Apartments,006WR00000wkEamYAE,PAL/ROE Complete,PAL_FIELD,AGR-0855,Expiration_Date__c,,2043-11-01
Topanga Terrace,006WR00000wkEanYAE,PAL/ROE Complete,PAL_FIELD,AGR-0858,IronClad_ID__c,,IC-1152
Topanga Terrace,006WR00000wkEanYAE,PAL/ROE Complete,PAL_FIELD,AGR-0858,Expiration_Date__c,,2043-11-01
Vista Apartments,006WR00000wkEaoYAE,PAL/ROE Complete,PAL_FIELD,AGR-0861,IronClad_ID__c,,IC-1152
Vista Apartments,006WR00000wkEaoYAE,PAL/ROE Complete,PAL_FIELD,AGR-0861,Expiration_Date__c,,2043-11-01
The Palms,006WR00000wkEapYAE,PAL/ROE Complete,PAL_FIELD,AGR-0864,IronClad_ID__c,,IC-1152
The Palms,006WR00000wkEapYAE,PAL/ROE Complete,PAL_FIELD,AGR-0864,Expiration_Date__c,,2043-11-01
First Casa De Marina,006WR00000wkEbIYAU,PAL/ROE Complete,PAL_FIELD,AGR-0925,IronClad_ID__c,,IC-1152
First Casa De Marina,006WR00000wkEbIYAU,PAL/ROE Complete,PAL_FIELD,AGR-0925,Expiration_Date__c,,2043-11-01
Lombardi Apartments,006WR00000wkEbJYAU,PAL/ROE Complete,PAL_FIELD,AGR-0928,IronClad_ID__c,,IC-1152
Lombardi Apartments,006WR00000wkEbJYAU,PAL/ROE Complete,PAL_FIELD,AGR-0928,Expiration_Date__c,,2043-11-01
The Meadows at Westlake Village,006WR00000wkEbKYAU,PAL/ROE Complete,PAL_FIELD,AGR-0931,IronClad_ID__c,,IC-1152
The Meadows at Westlake Village,006WR00000wkEbKYAU,PAL/ROE Complete,PAL_FIELD,AGR-0931,Expiration_Date__c,,2043-11-01
Brookside Terrace Apartments,006WR00000wkEbLYAU,PAL/ROE Complete,PAL_FIELD,AGR-0934,IronClad_ID__c,,IC-1152
Brookside Terrace Apartments,006WR00000wkEbLYAU,PAL/ROE Complete,PAL_FIELD,AGR-0934,Expiration_Date__c,,2043-11-01
