opp_name,category,reason
Omaha_MDU_Caroline,pal_to_roe,already_ROE_no_PAL
Omaha_MDU_The Rose Apartments,pal_to_roe,already_ROE_no_PAL
Omaha_MDU_4907 Ames Ave Apartments,pal_to_roe,already_ROE_no_PAL
Killeen_MDU_1015-1017 Parmer Ave,pal_to_roe,already_ROE_no_PAL
Omaha_MDU_The Frederick,pal_to_roe,already_ROE_no_PAL
Killeen_MDU_The Links Apts,pal_to_roe,already_ROE_no_PAL
Omaha_MDU_4822-4824 Cass St,pal_to_roe,already_ROE_no_PAL
Bridgeport_SA01_FDH08_PA01,pal_to_roe,already_ROE_no_PAL
Killeen_MDU_511 N Gilmer & 512 Wyoming St,pal_to_roe,already_ROE_no_PAL
Omaha_MDU_5006 Davenport St,pal_to_roe,already_ROE_no_PAL
Omaha_MDU_Benson Gardens,pal_to_roe,already_ROE_no_PAL
Omaha_MDU_360 Skyview,pal_to_roe,already_ROE_no_PAL
Omaha_MDU_Arbor Creek Apartments,pal_to_roe,already_ROE_no_PAL
Omaha_MDU_4015 HAMILTON ST,pal_to_roe,already_ROE_no_PAL
Omaha_MDU_Birchwood Apts,pal_to_roe,already_ROE_no_PAL
Omaha_MDU_4313 N 65th St,pal_to_roe,already_ROE_no_PAL
Omaha_MDU_4455 Franklin St,pal_to_roe,already_ROE_no_PAL
Omaha_MDU_4606 Redman Ave,pal_to_roe,already_ROE_no_PAL
Omaha_MDU_Taylor Apartments,pal_to_roe,already_ROE_no_PAL
Omaha_MDU_Ellington Apartments,pal_to_roe,already_ROE_no_PAL
Omaha_MDU_California Place,pal_to_roe,already_ROE_no_PAL
Omaha_MDU_6303 Taylor Cir,pal_to_roe,already_ROE_no_PAL
Omaha_MDU_St Frances Apartments,pal_to_roe,already_ROE_no_PAL
Killeen_MDU_201 W Green Ave,pal_to_roe,already_ROE_no_PAL
Killeen_MDU_Magnolia Heights,pal_to_roe,already_ROE_no_PAL
Killeen_MDU_425 N Gilmer St,pal_to_roe,already_ROE_no_PAL
Killeen_MDU_5 W Rancier Ave,pal_to_roe,already_ROE_no_PAL
Killeen_MDU_601 Harbour Ave,pal_to_roe,already_ROE_no_PAL
Killeen_MDU_Downtown Manor,pal_to_roe,already_ROE_no_PAL
Killeen_MDU_703 Gilmer Street Apartments,pal_to_roe,already_ROE_no_PAL
Georgetown_MDU_Mid-Century Park,pal_to_roe,already_ROE_no_PAL
Killeen_MDU_East Gate Apartments,pal_to_roe,already_ROE_no_PAL
Solana Beach_MDU_Surfsong Condos,pal_to_roe,already_ROE_no_PAL
Solana Beach_MDU_Seascape Chateau,pal_to_roe,already_ROE_no_PAL
Solana Beach_MDU_Seascape Shores Condos,pal_to_roe,already_ROE_no_PAL
Encinitas_MDU_Saxonay at Encinitas Ranch,pal_to_roe,already_ROE_no_PAL
Laurel Cove Lane Pvt Road,pal_to_roe,has_active_ROE_already
Terraces At Cantebria HOA,pal_to_roe,has_active_ROE_already
Manzanita Cove HOA,pal_to_roe,has_active_ROE_already
Village At Leucadia HOA,pal_to_roe,has_active_ROE_already
Cardiff Glen HOA,pal_to_roe,has_active_ROE_already
Cantaberia HOA,pal_to_roe,has_active_ROE_already
Hygeia Court HOA,pal_to_roe,has_active_ROE_already
Oceanic Drive,pal_to_roe,has_active_ROE_already
Portico At Rancho Carrillo HOA,pal_to_roe,has_active_ROE_already
May Private Road,pal_to_roe,has_active_ROE_already
North Shore HOA,pal_to_roe,has_active_ROE_already
Village Park Shady Tree #2,pal_to_roe,has_active_ROE_already
Las Vistas HOA,pal_to_roe,has_active_ROE_already
Sandy Point HOA,pal_to_roe,has_active_ROE_already
San Ito,pal_to_roe,already_ROE_no_PAL
