Id,Name,Agreement_Name__c,Property_Address__c,field,old_value,new_value
006WR00000wiNnkYAE,Omnia Baseline,,1145 W BASELINE RD,Property_Street__c,,W BASELINE RD
006WR00000wiNnlYAE,San Palmilla,,"750 W Baseline Rd, Tempe, AZ, USA",Property_Street_Number__c,,750
006WR00000wiNnlYAE,San Palmilla,,"750 W Baseline Rd, Tempe, AZ, USA",Property_Street__c,,W Baseline Rd
006WR00000wiNnmYAE,The Halston,,"1330 W Broadway Rd, Tempe, AZ, USA",Property_Street_Number__c,,1330
006WR00000wiNnmYAE,The Halston,,"1330 W Broadway Rd, Tempe, AZ, USA",Property_Street__c,,W Broadway Rd
006WR00000wiNnnYAE,Villa Real,,"2134 E Broadway Rd, Tempe, AZ, USA",Property_Street_Number__c,,2134
006WR00000wiNnnYAE,Villa Real,,"2134 E Broadway Rd, Tempe, AZ, USA",Property_Street__c,,E Broadway Rd
006WR00000wiNnoYAE,Gila Springs Apartments,,444 N Gila Springs Blvd,Property_Street_Number__c,,444
006WR00000wiNnoYAE,Gila Springs Apartments,,444 N Gila Springs Blvd,Property_Street__c,,N Gila Springs Blvd
006WR00000wiNnpYAE,Reflections at Gila Springs Apartment Homes,,"411 N Kyrene Rd, Chandler, AZ, USA",Property_Street_Number__c,,411
006WR00000wiNnpYAE,Reflections at Gila Springs Apartment Homes,,"411 N Kyrene Rd, Chandler, AZ, USA",Property_Street__c,,N Kyrene Rd
006WR00000wiNnqYAE,Stonebridge Ranch Apartments,,"575 W Pecos Rd, Chandler, AZ, USA",Property_Street_Number__c,,575
006WR00000wiNnqYAE,Stonebridge Ranch Apartments,,"575 W Pecos Rd, Chandler, AZ, USA",Property_Street__c,,W Pecos Rd
006WR00000wiNnrYAE,2150 Apartments,,"2150 South Arizona Avenue, Chandler, AZ, USA",Property_Street_Number__c,,2150
006WR00000wiNnrYAE,2150 Apartments,,"2150 South Arizona Avenue, Chandler, AZ, USA",Property_Street__c,,South Arizona Avenue
006WR00000wiNnsYAE,Cantera,,2475 W PECOS RD,Property_Street_Number__c,,2475
006WR00000wiNnsYAE,Cantera,,2475 W PECOS RD,Property_Street__c,,W PECOS RD
006WR00000wiNntYAE,Chandler Meadows,,"501 E Ray Rd, Chandler, AZ, USA",Property_Street_Number__c,,501
006WR00000wiNntYAE,Chandler Meadows,,"501 E Ray Rd, Chandler, AZ, USA",Property_Street__c,,E Ray Rd
006WR00000wiNnuYAE,Montage at Pecos Ranch,,1616 W Germann Rd,Property_Street_Number__c,,1616
006WR00000wiNnuYAE,Montage at Pecos Ranch,,1616 W Germann Rd,Property_Street__c,,W Germann Rd
006WR00000wiNnvYAE,Lumiere Chandler Condominiums,,1100 N Priest Dr,Property_Street_Number__c,,1100
006WR00000wiNnvYAE,Lumiere Chandler Condominiums,,1100 N Priest Dr,Property_Street__c,,N Priest Dr
006WR00000wiNnwYAE,Caldera,,"3939 W Windmills Blvd, Chandler, AZ, USA",Property_Street_Number__c,,3939
006WR00000wiNnwYAE,Caldera,,"3939 W Windmills Blvd, Chandler, AZ, USA",Property_Street__c,,W Windmills Blvd
006WR00000wiNnxYAE,The Linq,,125 S Alma School Rd,Property_Street_Number__c,,125
006WR00000wiNnxYAE,The Linq,,125 S Alma School Rd,Property_Street__c,,S Alma School Rd
006WR00000wiNnyYAE,Park Tower,,"1283 W Parklane Blvd, Chandler, AZ, USA",Property_Street_Number__c,,1283
006WR00000wiNnyYAE,Park Tower,,"1283 W Parklane Blvd, Chandler, AZ, USA",Property_Street__c,,W Parklane Blvd
006WR00000wiNnzYAE,909 West Apartments,,"909 W Grove Pkwy, Tempe, AZ, USA",Property_Street_Number__c,,909
006WR00000wiNnzYAE,909 West Apartments,,"909 W Grove Pkwy, Tempe, AZ, USA",Property_Street__c,,W Grove Pkwy
006WR00000wiNo0YAE,CityScape at Lakeshore Apartments,,"4630 South Lakeshore Drive, Tempe, AZ, USA",Property_Street_Number__c,,4630
006WR00000wiNo0YAE,CityScape at Lakeshore Apartments,,"4630 South Lakeshore Drive, Tempe, AZ, USA",Property_Street__c,,South Lakeshore Drive
006WR00000wiNo1YAE,Finisterra,,"1250 W Grove Pkwy, Tempe, AZ, USA",Property_Street_Number__c,,1250
006WR00000wiNo1YAE,Finisterra,,"1250 W Grove Pkwy, Tempe, AZ, USA",Property_Street__c,,W Grove Pkwy
006WR00000wiNo2YAE,Emerson Square,,"1701 East 8th Street, Tempe, AZ, USA",Property_Street_Number__c,,1701
006WR00000wiNo2YAE,Emerson Square,,"1701 East 8th Street, Tempe, AZ, USA",Property_Street__c,,East 8th Street
006WR00000wiNo3YAE,Tamarak Apartments,,"1860 E Hayden Ln, Tempe, AZ, USA",Property_Street_Number__c,,1860
006WR00000wiNo3YAE,Tamarak Apartments,,"1860 E Hayden Ln, Tempe, AZ, USA",Property_Street__c,,E Hayden Ln
006WR00000wiNo4YAE,Tremezzo on the Lake,,"1007 West 1st Street, Tempe, AZ, USA",Property_Street_Number__c,,1007
006WR00000wiNo4YAE,Tremezzo on the Lake,,"1007 West 1st Street, Tempe, AZ, USA",Property_Street__c,,West 1st Street
006WR00000wiNo5YAE,The Township,,"1295 N Ash St, Gilbert, AZ, USA",Property_Street_Number__c,,1295
006WR00000wiNo5YAE,The Township,,"1295 N Ash St, Gilbert, AZ, USA",Property_Street__c,,N Ash St
006WR00000wiNo6YAE,Waterside at Ocotillo,,"4800 S Alma School Rd, Chandler, AZ, USA",Property_Street_Number__c,,4800
006WR00000wiNo6YAE,Waterside at Ocotillo,,"4800 S Alma School Rd, Chandler, AZ, USA",Property_Street__c,,S Alma School Rd
006WR00000wiNo7YAE,Tempe Vista,,"2045 E Broadway Rd, Tempe, AZ, USA",Property_Street_Number__c,,2045
006WR00000wiNo7YAE,Tempe Vista,,"2045 E Broadway Rd, Tempe, AZ, USA",Property_Street__c,,E Broadway Rd
006WR00000wiNo8YAE,IMT Chandler,,"235 E Ray Rd, Chandler, AZ, USA",Property_Street_Number__c,,235
006WR00000wiNo8YAE,IMT Chandler,,"235 E Ray Rd, Chandler, AZ, USA",Property_Street__c,,E Ray Rd
006WR00000wiNo9YAE,Eastridge Apartments,,"1522 East Southern Avenue, Tempe, AZ, USA",Property_Street_Number__c,,1522
006WR00000wiNo9YAE,Eastridge Apartments,,"1522 East Southern Avenue, Tempe, AZ, USA",Property_Street__c,,East Southern Avenue
006WR00000wiNoAYAU,Tanque Verde,,"7671 E Tanque Verde Rd, Tucson, AZ, USA",Property_Street_Number__c,,7671
006WR00000wiNoAYAU,Tanque Verde,,"7671 E Tanque Verde Rd, Tucson, AZ, USA",Property_Street__c,,E Tanque Verde Rd
006WR00000wiNoBYAU,Villas Los Duranzos,,"3535 N 1st Ave, Tucson, AZ, USA",Property_Street_Number__c,,3535
006WR00000wiNoBYAU,Villas Los Duranzos,,"3535 N 1st Ave, Tucson, AZ, USA",Property_Street__c,,N 1st Ave
006WR00000wiNoCYAU,Promontory Apartment Homes,,"60 West Stone Loop, Tucson, AZ, USA",Property_Street_Number__c,,60
006WR00000wiNoCYAU,Promontory Apartment Homes,,"60 West Stone Loop, Tucson, AZ, USA",Property_Street__c,,West Stone Loop
006WR00000wiNoDYAU,Coronado Villas,,"9225 East Tanque Verde Road, Tucson, AZ, USA",Property_Street_Number__c,,9225
006WR00000wiNoDYAU,Coronado Villas,,"9225 East Tanque Verde Road, Tucson, AZ, USA",Property_Street__c,,East Tanque Verde Road
006WR00000wiNoEYAU,Trails West MHP,,"8401 S Kolb Rd, Tucson, AZ, USA",Property_Street_Number__c,,8401
006WR00000wiNoEYAU,Trails West MHP,,"8401 S Kolb Rd, Tucson, AZ, USA",Property_Street__c,,S Kolb Rd
006WR00000wiNoFYAU,Riverstone,,"6161 E Grant Rd, Tucson, AZ, USA",Property_Street_Number__c,,6161
006WR00000wiNoFYAU,Riverstone,,"6161 E Grant Rd, Tucson, AZ, USA",Property_Street__c,,E Grant Rd
006WR00000wiNoGYAU,Avana River Ranch,,"6152 West Oakland Street, Chandler, AZ, USA",Property_Street_Number__c,,6152
006WR00000wiNoGYAU,Avana River Ranch,,"6152 West Oakland Street, Chandler, AZ, USA",Property_Street__c,,West Oakland Street
006WR00000wiNoHYAU,Tides at Parkview,,"1235 W Baseline Rd, Tempe, AZ, USA",Property_Street_Number__c,,1235
006WR00000wiNoHYAU,Tides at Parkview,,"1235 W Baseline Rd, Tempe, AZ, USA",Property_Street__c,,W Baseline Rd
006WR00000wiNoIYAU,Canyon Oaks,,"600 South Pantano Road, Tucson, AZ, USA",Property_Street_Number__c,,600
006WR00000wiNoIYAU,Canyon Oaks,,"600 South Pantano Road, Tucson, AZ, USA",Property_Street__c,,South Pantano Road
006WR00000wiNoJYAU,Rincon Valley MHP,,"3411 South Camino Seco, Tucson, AZ, USA",Property_Street_Number__c,,3411
006WR00000wiNoJYAU,Rincon Valley MHP,,"3411 South Camino Seco, Tucson, AZ, USA",Property_Street__c,,South Camino Seco
006WR00000wiNoKYAU,Ascension at Ironwood,,"2550 West Ironwood Hill Drive, Tucson, AZ, USA",Property_Street_Number__c,,2550
006WR00000wiNoKYAU,Ascension at Ironwood,,"2550 West Ironwood Hill Drive, Tucson, AZ, USA",Property_Street__c,,West Ironwood Hill Drive
006WR00000wiNoLYAU,Fellowship Square - Tucson,,"8111 E Broadway Rd, Mesa, AZ, USA",Property_Street_Number__c,,8111
006WR00000wiNoLYAU,Fellowship Square - Tucson,,"8111 E Broadway Rd, Mesa, AZ, USA",Property_Street__c,,E Broadway Rd
006WR00000wiNoMYAU,Sycamore Creek Apartments,,"1701 N Wilmot Rd, Tucson, AZ, USA",Property_Street_Number__c,,1701
006WR00000wiNoMYAU,Sycamore Creek Apartments,,"1701 N Wilmot Rd, Tucson, AZ, USA",Property_Street__c,,N Wilmot Rd
006WR00000wiNoNYAU,Sorensen Heights,Omaha_MDU_Sorensen Heights,"5425 Mary Street, Omaha, NE, USA",Property_Street_Number__c,,5425
006WR00000wiNoNYAU,Sorensen Heights,Omaha_MDU_Sorensen Heights,"5425 Mary Street, Omaha, NE, USA",Property_Street__c,,Mary Street
006WR00000wiNoNYAU,Sorensen Heights,Omaha_MDU_Sorensen Heights,"5425 Mary Street, Omaha, NE, USA",Property_County__c,,Douglas
006WR00000wiNoOYAU,Plaza Del Sol MHP,,"1655 West Ajo Way, Tucson, AZ, USA",Property_Street_Number__c,,1655
006WR00000wiNoOYAU,Plaza Del Sol MHP,,"1655 West Ajo Way, Tucson, AZ, USA",Property_Street__c,,West Ajo Way
006WR00000wiNoPYAU,Lake Pointe Apartments,,"6111 N Beach St , Fort Worth, TX, USA",Property_Street_Number__c,,6111
006WR00000wiNoPYAU,Lake Pointe Apartments,,"6111 N Beach St , Fort Worth, TX, USA",Property_Street__c,,N Beach St
006WR00000wiNoQYAU,Villa Pacific Apartments - Oceanside,,"700 Carey Rd, Oceanside, CA, USA",Property_Street_Number__c,,700
006WR00000wiNoQYAU,Villa Pacific Apartments - Oceanside,,"700 Carey Rd, Oceanside, CA, USA",Property_Street__c,,Carey Rd
006WR00000wiNoRYAU,Sonoran Vista,,"9340 E Redfield Rd, Scottsdale, AZ, USA",Property_Street_Number__c,,9340
006WR00000wiNoRYAU,Sonoran Vista,,"9340 E Redfield Rd, Scottsdale, AZ, USA",Property_Street__c,,E Redfield Rd
006WR00000wiNoSYAU,Haciendas de la Playa,Encinitas_MDU_Haciendas de la Playa,306 PLAYA BLANCA ENCINITAS CA 92024,Property_Street_Number__c,,306
006WR00000wiNoSYAU,Haciendas de la Playa,Encinitas_MDU_Haciendas de la Playa,306 PLAYA BLANCA ENCINITAS CA 92024,Property_Street__c,,PLAYA BLANCA
006WR00000wiNoTYAU,Charleston Gardens,,"4880 E Charleston Blvd, Las Vegas, NV, USA",Property_Street_Number__c,,4880
006WR00000wiNoTYAU,Charleston Gardens,,"4880 E Charleston Blvd, Las Vegas, NV, USA",Property_Street__c,,E Charleston Blvd
006WR00000wiNoUYAU,Finn Apartments,,"221 Stanton Dr, Des Moines IA 50321",Property_Street_Number__c,,221
006WR00000wiNoUYAU,Finn Apartments,,"221 Stanton Dr, Des Moines IA 50321",Property_Street__c,,Stanton Dr
006WR00000wiNoVYAU,Haven at Lone Mountain Apartments,,"5400 W CHEYENNE AVE Las Vegas, NV 89108",Property_Street_Number__c,,5400
006WR00000wiNoVYAU,Haven at Lone Mountain Apartments,,"5400 W CHEYENNE AVE Las Vegas, NV 89108",Property_Street__c,,W CHEYENNE AVE Las Vegas
006WR00000wiNoWYAU,Lumina on 19th Apartments,,"1905 West Las Palmaritas Drive, Phoenix, AZ, USA",Property_Street_Number__c,,1905
006WR00000wiNoWYAU,Lumina on 19th Apartments,,"1905 West Las Palmaritas Drive, Phoenix, AZ, USA",Property_Street__c,,West Las Palmaritas Drive
006WR00000wiNoXYAU,Olive Queen Creek,,"20450 East Ocotillo Road, Queen Creek, AZ, USA",Property_Street_Number__c,,20450
006WR00000wiNoXYAU,Olive Queen Creek,,"20450 East Ocotillo Road, Queen Creek, AZ, USA",Property_Street__c,,East Ocotillo Road
006WR00000wiNoYYAU,Casa Santa Fe,,"11105 North 115th Street, Scottsdale, AZ, USA",Property_Street_Number__c,,11105
006WR00000wiNoYYAU,Casa Santa Fe,,"11105 North 115th Street, Scottsdale, AZ, USA",Property_Street__c,,North 115th Street
006WR00000wiNoZYAU,Kaia Pointe,,"104 Bettie Mae Way, Georgetown, TX, USA",Property_Street_Number__c,,104
006WR00000wiNoZYAU,Kaia Pointe,,"104 Bettie Mae Way, Georgetown, TX, USA",Property_Street__c,,Bettie Mae Way
006WR00000wiNoaYAE,Southgate Glen,Weatherford_MDU_Southgate Glen Apartments,"1712 Martin Dr, Weatherford, TX, USA",Property_Street_Number__c,,1712
006WR00000wiNoaYAE,Southgate Glen,Weatherford_MDU_Southgate Glen Apartments,"1712 Martin Dr, Weatherford, TX, USA",Property_Street__c,,Martin Dr
006WR00000wiNobYAE,Gardens of Weatherford,,"300 Garden Ln, Weatherford, TX, USA",Property_Street_Number__c,,300
006WR00000wiNobYAE,Gardens of Weatherford,,"300 Garden Ln, Weatherford, TX, USA",Property_Street__c,,Garden Ln
006WR00000wiNocYAE,Jones13,,"1301 Jones Street, Omaha, NE, USA",Property_Street_Number__c,,1301
006WR00000wiNocYAE,Jones13,,"1301 Jones Street, Omaha, NE, USA",Property_Street__c,,Jones Street
006WR00000wiNodYAE,Paisley & Pointe at Centennial Hills,,"5850 Sky Pointe Dr, Las Vegas, NV 89130, USA",Property_Street_Number__c,,5850
006WR00000wiNodYAE,Paisley & Pointe at Centennial Hills,,"5850 Sky Pointe Dr, Las Vegas, NV 89130, USA",Property_Street__c,,Sky Pointe Dr
006WR00000wiNoeYAE,Country Oaks Apartments,,"1550 S 1000 E, Clearfield UT 84015",Property_Street_Number__c,,1550
006WR00000wiNoeYAE,Country Oaks Apartments,,"1550 S 1000 E, Clearfield UT 84015",Property_Street__c,,S 1000 E
006WR00000wiNofYAE,Woodridge Villas,,"1591 Chartered Circle  Las Vegas, NV 89101",Property_Street_Number__c,,1591
006WR00000wiNofYAE,Woodridge Villas,,"1591 Chartered Circle  Las Vegas, NV 89101",Property_Street__c,,Chartered Circle  Las Vegas
006WR00000wiNogYAE,Senator Richard Bryon Senior Apartments,,"2651 SEARLES AVE Las Vegas, NV 89101",Property_Street_Number__c,,2651
006WR00000wiNogYAE,Senator Richard Bryon Senior Apartments,,"2651 SEARLES AVE Las Vegas, NV 89101",Property_Street__c,,SEARLES AVE Las Vegas
006WR00000wiNohYAE,Noel Crest Condos HOA,,"4841 Woodland Ave, West Des Moines, IA 50266, USA",Property_Street_Number__c,,4841
006WR00000wiNohYAE,Noel Crest Condos HOA,,"4841 Woodland Ave, West Des Moines, IA 50266, USA",Property_Street__c,,Woodland Ave
006WR00000wiNoiYAE,Lattitude,,"8411 SE Causey Ave, Happy Valley, OR 97086, USA",Property_Street_Number__c,,8411
006WR00000wiNoiYAE,Lattitude,,"8411 SE Causey Ave, Happy Valley, OR 97086, USA",Property_Street__c,,SE Causey Ave
006WR00000wiNojYAE,Elysian at Post,,"9280 W Post Rd, Las Vegas, NV, USA",Property_Street_Number__c,,9280
006WR00000wiNojYAE,Elysian at Post,,"9280 W Post Rd, Las Vegas, NV, USA",Property_Street__c,,W Post Rd
006WR00000wiNokYAE,Foster Greens Apartments,,"13865 Interurban Ave S, Tukwila, WA, USA",Property_Street_Number__c,,13865
006WR00000wiNokYAE,Foster Greens Apartments,,"13865 Interurban Ave S, Tukwila, WA, USA",Property_Street__c,,Interurban Ave S
006WR00000wiNolYAE,Talisman Condos,,"750 1st St, Lake Oswego, OR 97034",Property_Street_Number__c,,750
006WR00000wiNolYAE,Talisman Condos,,"750 1st St, Lake Oswego, OR 97034",Property_Street__c,,1st St
006WR00000wiNomYAE,Fiesta Condos,,"8501 W UNIVERSITY AVE Las Vegas, NV 89147",Property_Street_Number__c,,8501
006WR00000wiNomYAE,Fiesta Condos,,"8501 W UNIVERSITY AVE Las Vegas, NV 89147",Property_Street__c,,W UNIVERSITY AVE Las Vegas
006WR00000wiNonYAE,Wyndham Villas - Broadmoor,Omaha_MDU_Wyndham Villas by Broadmoor,"9307 Western Ave, Omaha, NE",Property_Street_Number__c,,9307
006WR00000wiNonYAE,Wyndham Villas - Broadmoor,Omaha_MDU_Wyndham Villas by Broadmoor,"9307 Western Ave, Omaha, NE",Property_Street__c,,Western Ave
006WR00000wiNonYAE,Wyndham Villas - Broadmoor,Omaha_MDU_Wyndham Villas by Broadmoor,"9307 Western Ave, Omaha, NE",Property_County__c,,Douglas
006WR00000wiNooYAE,The Ridge & Shores Apartments,,"31912 3rd Pl SW, Federal Way, WA, USA",Property_Street_Number__c,,31912
006WR00000wiNooYAE,The Ridge & Shores Apartments,,"31912 3rd Pl SW, Federal Way, WA, USA",Property_Street__c,,3rd Pl SW
006WR00000wiNopYAE,Western Sun Apartments,,"615 South Williams, Mesa, AZ 85204, USA",Property_Street_Number__c,,615
006WR00000wiNopYAE,Western Sun Apartments,,"615 South Williams, Mesa, AZ 85204, USA",Property_Street__c,,South Williams
006WR00000wiNoqYAE,Viewpoint Apartment Homes,,"21428 Pacific Hwy S, Seattle, WA, USA",Property_Street_Number__c,,21428
006WR00000wiNoqYAE,Viewpoint Apartment Homes,,"21428 Pacific Hwy S, Seattle, WA, USA",Property_Street__c,,Pacific Hwy S
006WR00000wiNorYAE,Jerome Apartments,,"6451 W Bell Rd, Glendale, AZ, USA",Property_Street_Number__c,,6451
006WR00000wiNorYAE,Jerome Apartments,,"6451 W Bell Rd, Glendale, AZ, USA",Property_Street__c,,W Bell Rd
006WR00000wiNosYAE,Sandstone Apartments,Mesa_MDU_Sandstone Apartments,"1727 West Emelita Avenue, Mesa, AZ, USA",Property_Street_Number__c,,1727
006WR00000wiNosYAE,Sandstone Apartments,Mesa_MDU_Sandstone Apartments,"1727 West Emelita Avenue, Mesa, AZ, USA",Property_Street__c,,West Emelita Avenue
006WR00000wiNotYAE,Lyn Terrace Apartments _Lumen Fl_Marvin,,"1651 N County Rd 19A, Eustis, FL, USA",Property_Street_Number__c,,1651
006WR00000wiNotYAE,Lyn Terrace Apartments _Lumen Fl_Marvin,,"1651 N County Rd 19A, Eustis, FL, USA",Property_Street__c,,N County Rd 19A
006WR00000wiNouYAE,Lakeside Heights,,"1375 Pullen Rd, Tallahassee, FL 32303, USA",Property_Street_Number__c,,1375
006WR00000wiNouYAE,Lakeside Heights,,"1375 Pullen Rd, Tallahassee, FL 32303, USA",Property_Street__c,,Pullen Rd
006WR00000wiNovYAE,Clarendon,,"105 Warren Avenue North, Seattle, WA, USA",Property_Street_Number__c,,105
006WR00000wiNovYAE,Clarendon,,"105 Warren Avenue North, Seattle, WA, USA",Property_Street__c,,Warren Avenue North
006WR00000wiNowYAE,Cinnabar Apts.,,"4141 W Glendale Ave, Glendale, AZ, USA",Property_Street_Number__c,,4141
006WR00000wiNowYAE,Cinnabar Apts.,,"4141 W Glendale Ave, Glendale, AZ, USA",Property_Street__c,,W Glendale Ave
006WR00000wiNoxYAE,Jasper,,"8606 35th Avenue Southwest, Seattle, WA, USA",Property_Street_Number__c,,8606
006WR00000wiNoxYAE,Jasper,,"8606 35th Avenue Southwest, Seattle, WA, USA",Property_Street__c,,35th Avenue Southwest
006WR00000wiNoyYAE,University Gardens Apartment,,"1333 North Tyndall Avenue, Tucson, AZ, USA",Property_Street_Number__c,,1333
006WR00000wiNoyYAE,University Gardens Apartment,,"1333 North Tyndall Avenue, Tucson, AZ, USA",Property_Street__c,,North Tyndall Avenue
006WR00000wiNozYAE,Cliffs at North Mountain,,"1720 E Thunderbird Rd, Phoenix, AZ, USA",Property_Street_Number__c,,1720
006WR00000wiNozYAE,Cliffs at North Mountain,,"1720 E Thunderbird Rd, Phoenix, AZ, USA",Property_Street__c,,E Thunderbird Rd
006WR00000wiNp0YAE,Palm Aire Apts.,,"6241 North 27th Avenue, Phoenix, AZ, USA",Property_Street_Number__c,,6241
006WR00000wiNp0YAE,Palm Aire Apts.,,"6241 North 27th Avenue, Phoenix, AZ, USA",Property_Street__c,,North 27th Avenue
006WR00000wiNp1YAE,Landes - Thrive Communities,,"901 8th Avenue, Seattle, WA, USA",Property_Street_Number__c,,901
006WR00000wiNp1YAE,Landes - Thrive Communities,,"901 8th Avenue, Seattle, WA, USA",Property_Street__c,,8th Avenue
006WR00000wiNp2YAE,Big Trout Lodge,,"22809 E Country Vista Dr, Liberty Lake, WA, USA",Property_Street_Number__c,,22809
006WR00000wiNp2YAE,Big Trout Lodge,,"22809 E Country Vista Dr, Liberty Lake, WA, USA",Property_Street__c,,E Country Vista Dr
006WR00000wiNp3YAE,Cimarron Apartments LV,,"8301 W. Flamingo Rd. Las Vegas, NV",Property_Street_Number__c,,8301
006WR00000wiNp3YAE,Cimarron Apartments LV,,"8301 W. Flamingo Rd. Las Vegas, NV",Property_Street__c,,W. Flamingo Rd. Las Vegas
006WR00000wiNp4YAE,Lyons Glen Apartments,,"6901 North Wiscomb Street, Spokane, WA, USA",Property_Street_Number__c,,6901
006WR00000wiNp4YAE,Lyons Glen Apartments,,"6901 North Wiscomb Street, Spokane, WA, USA",Property_Street__c,,North Wiscomb Street
006WR00000wiNp5YAE,Regency Woods Apartments,,"1650 Eagle Ridge Dr S, Renton, WA, USA",Property_Street_Number__c,,1650
006WR00000wiNp5YAE,Regency Woods Apartments,,"1650 Eagle Ridge Dr S, Renton, WA, USA",Property_Street__c,,Eagle Ridge Dr S
006WR00000wiNp6YAE,Soundview Apartment Homes,,"28425 18th Ave S, Federal Way, WA, USA",Property_Street_Number__c,,28425
006WR00000wiNp6YAE,Soundview Apartment Homes,,"28425 18th Ave S, Federal Way, WA, USA",Property_Street__c,,18th Ave S
006WR00000wj8JOYAY,The Link,,"1457 W University Dr, Mesa, AZ 85201, USA",Property_Street_Number__c,,1457
006WR00000wj8JOYAY,The Link,,"1457 W University Dr, Mesa, AZ 85201, USA",Property_Street__c,,W University Dr
006WR00000wj8JPYAY,The Flats at SanTan,,"2550 South Santan Village Parkway, Gilbert, AZ, USA",Property_Street_Number__c,,2550
006WR00000wj8JPYAY,The Flats at SanTan,,"2550 South Santan Village Parkway, Gilbert, AZ, USA",Property_Street__c,,South Santan Village Parkway
006WR00000wj8JQYAY,Oasis in Mesa,,"420 N 64th Pl, Mesa, AZ 85205, USA",Property_Street_Number__c,,420
006WR00000wj8JQYAY,Oasis in Mesa,,"420 N 64th Pl, Mesa, AZ 85205, USA",Property_Street__c,,N 64th Pl
006WR00000wj8JRYAY,The Madison,,"520 N Mesa Dr, Mesa, AZ 85201, USA",Property_Street_Number__c,,520
006WR00000wj8JRYAY,The Madison,,"520 N Mesa Dr, Mesa, AZ 85201, USA",Property_Street__c,,N Mesa Dr
006WR00000wj8JSYAY,The Wyatt,,"1233 S Gilbert Rd, Gilbert, AZ 85296, USA",Property_Street_Number__c,,1233
006WR00000wj8JSYAY,The Wyatt,,"1233 S Gilbert Rd, Gilbert, AZ 85296, USA",Property_Street__c,,S Gilbert Rd
006WR00000wj8JTYAY,Acero Val Vista,Gilbert_MDU_Acero Val Vista,1500 E Melrose St 85297,Property_Street_Number__c,,1500
006WR00000wj8JTYAY,Acero Val Vista,Gilbert_MDU_Acero Val Vista,1500 E Melrose St 85297,Property_Street__c,,E Melrose St
006WR00000wj8JUYAY,Mesa Village,,"2701 East Allred Avenue, Mesa, AZ, USA",Property_Street_Number__c,,2701
