Id,Name,Business_Base_Address__c,Market__c,State__c,City__c,Circuit_ID__c,FDH_Name__c,Serving_Area__c,Import_DateTime__c
a01WR00000UGMVjYAP,9600 TEN MILE BRIDGE RD FORT WORTH TX,9600 TEN MILE BRIDGE RD FORT WORTH TX,DFW,TX,FORT WORTH,TX0601-007000207A,TX_DFW_SA02_FDH07,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGMWIYA5,970 MOUNT GILEAD RD KELLER TX,970 MOUNT GILEAD RD KELLER TX,DFW,TX,KELLER,TX0603-001000025A,TX_DFW_SA01_FDH01,SA01,2025-10-06T18:05:06.000+0000
a01WR00000UGVWiYAP,9800 RAY WHITE RD FORT WORTH TX,9800 RAY WHITE RD FORT WORTH TX,DFW,TX,FORT WORTH,TX0607-018000176A,TX_DFW_SA01_FDH18,SA01,2025-10-06T18:05:06.000+0000
a01WR00000UGVWkYAP,9801 RAY WHITE RD FORT WORTH TX,9801 RAY WHITE RD FORT WORTH TX,DFW,TX,FORT WORTH,TX0607-018000184A,TX_DFW_SA01_FDH18,SA01,2025-10-06T18:05:06.000+0000
a01WR00000UGVWmYAP,9805 RAY WHITE RD FORT WORTH TX,9805 RAY WHITE RD FORT WORTH TX,DFW,TX,FORT WORTH,TX0607-018000174A,TX_DFW_SA01_FDH18,SA01,2025-10-06T18:05:06.000+0000
a01WR00000UGVWpYAP,982 W DOVE RD SOUTHLAKE TX,982 W DOVE RD SOUTHLAKE TX,DFW,TX,SOUTHLAKE,TX0603-007000129A,TX_DFW_SA13_FDH09,SA13,2025-10-06T18:05:06.000+0000
a01WR00000UGVWrYAP,9825 RAY WHITE RD FORT WORTH TX,9825 RAY WHITE RD FORT WORTH TX,DFW,TX,FORT WORTH,TX0607-018000185A,TX_DFW_SA01_FDH18,SA01,2025-10-06T18:05:06.000+0000
a01WR00000UGVWwYAP,9855 RAY WHITE RD FORT WORTH TX,9855 RAY WHITE RD FORT WORTH TX,DFW,TX,FORT WORTH,TX0607-018000186A,TX_DFW_SA01_FDH18,SA01,2025-10-06T18:05:06.000+0000
a01WR00000UGVYUYA5,1008 DUNAWAY LN AZLE TX,1008 DUNAWAY LN AZLE TX,DFW,TX,AZLE,TX0601-010000109A,TX_DFW_SA02_FDH10,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVYWYA5,1008 HARBOR S DR AZLE TX,1008 HARBOR S DR AZLE TX,DFW,TX,AZLE,TX0601-009000010A,TX_DFW_SA02_FDH09,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVYyYAP,101 GLENHAVEN DR AZLE TX,101 GLENHAVEN DR AZLE TX,DFW,TX,AZLE,TX0601-010000041A,TX_DFW_SA02_FDH10,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVZBYA5,101 N ASH AVE AZLE TX,101 N ASH AVE AZLE TX,DFW,TX,AZLE,TX0601-010000085A,TX_DFW_SA02_FDH10,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVaHYAX,1012 DUNAWAY LN AZLE TX,1012 DUNAWAY LN AZLE TX,DFW,TX,AZLE,TX0601-010000095A,TX_DFW_SA02_FDH10,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVaJYAX,1012 HARBOR S DR AZLE TX,1012 HARBOR S DR AZLE TX,DFW,TX,AZLE,TX0601-009000011A,TX_DFW_SA02_FDH09,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVaSYAX,1013 SOUTHEAST PKWY AZLE TX,1013 SOUTHEAST PKWY AZLE TX,DFW,TX,AZLE,TX0601-010000034A,TX_DFW_SA02_FDH10,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVaTYAX,10134 SAM REYNOLDS RD JUSTIN TX,10134 SAM REYNOLDS RD JUSTIN TX,DFW,TX,JUSTIN,TX0602-021000186A,TX_DFW_SA03_FDH21,SA03,2025-10-06T18:05:06.000+0000
a01WR00000UGVanYAH,1016 DUNAWAY LN AZLE TX,1016 DUNAWAY LN AZLE TX,DFW,TX,AZLE,TX0601-010000054A,TX_DFW_SA02_FDH10,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVaoYAH,1016 HARBOR S DR AZLE TX,1016 HARBOR S DR AZLE TX,DFW,TX,AZLE,TX0601-009000012A,TX_DFW_SA02_FDH09,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVazYAH,1017 SOUTHEAST PKWY AZLE TX,1017 SOUTHEAST PKWY AZLE TX,DFW,TX,AZLE,TX0601-010000001A,TX_DFW_SA02_FDH10,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVbDYAX,102 BLUE MOUND E RD HASLET TX,102 BLUE MOUND E RD HASLET TX,DFW,TX,HASLET,TX0602-034000197A,TX_DFW_SA04_FDH34,SA04,2025-10-06T18:05:06.000+0000
a01WR00000UGVbZYAX,102 S FIRST ST HASLET TX,102 S FIRST ST HASLET TX,DFW,TX,HASLET,TX0602-025000014A,TX_DFW_SA03_FDH25,SA03,2025-10-06T18:05:06.000+0000
a01WR00000UGVbpYAH,10200 CANARY LN FORT WORTH TX,10200 CANARY LN FORT WORTH TX,DFW,TX,FORT WORTH,TX0607-018000181A,TX_DFW_SA01_FDH18,SA01,2025-10-06T18:05:06.000+0000
a01WR00000UGVcLYAX,103 HARMONSON AVE JUSTIN TX,103 HARMONSON AVE JUSTIN TX,DFW,TX,JUSTIN,TX0602-021000144A,TX_DFW_SA03_FDH21,SA03,2025-10-06T18:05:06.000+0000
a01WR00000UGVcmYAH,10305 ALTA VISTA RD FORT WORTH TX,10305 ALTA VISTA RD FORT WORTH TX,DFW,TX,FORT WORTH,TX0607-018000179A,TX_DFW_SA01_FDH18,SA01,2025-10-06T18:05:06.000+0000
a01WR00000UGVcoYAH,10315 ALTA VISTA RD FORT WORTH TX,10315 ALTA VISTA RD FORT WORTH TX,DFW,TX,FORT WORTH,TX0607-018000182A,TX_DFW_SA01_FDH18,SA01,2025-10-06T18:05:06.000+0000
a01WR00000UGVcqYAH,1032 MOUNT GILEAD RD KELLER TX,1032 MOUNT GILEAD RD KELLER TX,DFW,TX,KELLER,TX0603-001000022A,TX_DFW_SA01_FDH01,SA01,2025-10-06T18:05:06.000+0000
a01WR00000UGVdzYAH,1048 MOUNT GILEAD RD KELLER TX,1048 MOUNT GILEAD RD KELLER TX,DFW,TX,KELLER,TX0603-002000132A,TX_DFW_SA13_FDH02,SA13,2025-10-06T18:05:06.000+0000
a01WR00000UGVeEYAX,105 FOWLER RD AZLE TX,105 FOWLER RD AZLE TX,DFW,TX,AZLE,TX0601-010000048A,TX_DFW_SA02_FDH10,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVeIYAX,105 N ASH AVE AZLE TX,105 N ASH AVE AZLE TX,DFW,TX,AZLE,TX0601-010000084A,TX_DFW_SA02_FDH10,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVerYAH,1052 W DOVE RD SOUTHLAKE TX,1052 W DOVE RD SOUTHLAKE TX,DFW,TX,SOUTHLAKE,TX0603-007000130A,TX_DFW_SA13_FDH09,SA13,2025-10-06T18:05:06.000+0000
a01WR00000UGVf5YAH,106 GAMMILL ST HASLET TX,106 GAMMILL ST HASLET TX,DFW,TX,HASLET,TX0602-025000027A,TX_DFW_SA03_FDH25,SA03,2025-10-06T18:05:06.000+0000
a01WR00000UGVfLYAX,106 SMITH ST BOYD TX,106 SMITH ST BOYD TX,DFW,TX,BOYD,TX0602-001000718A,TX_DFW_SA08_FDH01,SA08,2025-10-06T18:05:06.000+0000
a01WR00000UGVgtYAH,109 HARMONSON AVE JUSTIN TX,109 HARMONSON AVE JUSTIN TX,DFW,TX,JUSTIN,TX0602-021000126A,TX_DFW_SA03_FDH21,SA03,2025-10-06T18:05:06.000+0000
a01WR00000UGVgyYAH,109 N ASH AVE AZLE TX,109 N ASH AVE AZLE TX,DFW,TX,AZLE,TX0601-010000090A,TX_DFW_SA02_FDH10,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVi9YAH,1100 DUNAWAY LN AZLE TX,1100 DUNAWAY LN AZLE TX,DFW,TX,AZLE,TX0601-010000006A,TX_DFW_SA02_FDH10,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGViDYAX,1100 FM 156 S HASLET TX,1100 FM 156 S HASLET TX,DFW,TX,HASLET,TX0602-034000187A,TX_DFW_SA04_FDH34,SA04,2025-10-06T18:05:06.000+0000
a01WR00000UGViIYAX,1100 MELODY LN KELLER TX,1100 MELODY LN KELLER TX,DFW,TX,KELLER,TX0603-002000162A,TX_DFW_SA13_FDH02,SA13,2025-10-06T18:05:06.000+0000
a01WR00000UGVidYAH,1101 ASHTON DR AZLE TX,1101 ASHTON DR AZLE TX,DFW,TX,AZLE,TX0601-012000013A,TX_DFW_SA02_FDH12,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVjHYAX,1104 DUNAWAY LN AZLE TX,1104 DUNAWAY LN AZLE TX,DFW,TX,AZLE,TX0601-010000139A,TX_DFW_SA02_FDH10,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVjPYAX,1104 MELODY LN KELLER TX,1104 MELODY LN KELLER TX,DFW,TX,KELLER,TX0603-002000159A,TX_DFW_SA13_FDH02,SA13,2025-10-06T18:05:06.000+0000
a01WR00000UGVjaYAH,1105 ASHTON DR AZLE TX,1105 ASHTON DR AZLE TX,DFW,TX,AZLE,TX0601-012000010A,TX_DFW_SA02_FDH12,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVk6YAH,1108 DUNAWAY LN AZLE TX,1108 DUNAWAY LN AZLE TX,DFW,TX,AZLE,TX0601-010000116A,TX_DFW_SA02_FDH10,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVk9YAH,1108 MELODY LN KELLER TX,1108 MELODY LN KELLER TX,DFW,TX,KELLER,TX0603-002000143A,TX_DFW_SA13_FDH02,SA13,2025-10-06T18:05:06.000+0000
a01WR00000UGVkAYAX,1108 N MAIN ST KELLER TX,1108 N MAIN ST KELLER TX,DFW,TX,KELLER,TX0606-018000028A,TX_DFW_SA01_FDH68,SA01,2025-10-06T18:05:06.000+0000
a01WR00000UGVkGYAX,1109 ASHTON DR AZLE TX,1109 ASHTON DR AZLE TX,DFW,TX,AZLE,TX0601-012000011A,TX_DFW_SA02_FDH12,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVkLYAX,1109 MELODY LN KELLER TX,1109 MELODY LN KELLER TX,DFW,TX,KELLER,TX0603-002000128A,TX_DFW_SA13_FDH02,SA13,2025-10-06T18:05:06.000+0000
a01WR00000UGVksYAH,111 SOUTHRIDGE LAKES PKWY SOUTHLAKE TX,111 SOUTHRIDGE LAKES PKWY SOUTHLAKE TX,DFW,TX,SOUTHLAKE,TX0606-008000026A,TX_DFW_SA01_FDH58,SA01,2025-10-06T18:05:06.000+0000
a01WR00000UGVlOYAX,1111 S WHITE CHAPEL BLVD SOUTHLAKE TX,1111 S WHITE CHAPEL BLVD SOUTHLAKE TX,DFW,TX,SOUTHLAKE,TX0606-007000002A,TX_DFW_SA01_FDH07,SA01,2025-10-06T18:05:06.000+0000
a01WR00000UGVlQYAX,1112 DUNAWAY LN AZLE TX,1112 DUNAWAY LN AZLE TX,DFW,TX,AZLE,TX0601-010000097A,TX_DFW_SA02_FDH10,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVlUYAX,1112 MELODY LN KELLER TX,1112 MELODY LN KELLER TX,DFW,TX,KELLER,TX0603-002000110A,TX_DFW_SA13_FDH02,SA13,2025-10-06T18:05:06.000+0000
a01WR00000UGVlaYAH,1113 ASHTON DR AZLE TX,1113 ASHTON DR AZLE TX,DFW,TX,AZLE,TX0601-012000012A,TX_DFW_SA02_FDH12,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVlfYAH,1113 MELODY LN KELLER TX,1113 MELODY LN KELLER TX,DFW,TX,KELLER,TX0603-002000169A,TX_DFW_SA13_FDH02,SA13,2025-10-06T18:05:06.000+0000
a01WR00000UGVlgYAH,1113 N STEWART ST AZLE TX,1113 N STEWART ST AZLE TX,DFW,TX,AZLE,TX0601-010000128A,TX_DFW_SA02_FDH10,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVlrYAH,1116 CARPENTER ST AZLE TX,1116 CARPENTER ST AZLE TX,DFW,TX,AZLE,TX0601-010000011A,TX_DFW_SA02_FDH10,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVlwYAH,1117 ASHTON DR AZLE TX,1117 ASHTON DR AZLE TX,DFW,TX,AZLE,TX0601-012000009A,TX_DFW_SA02_FDH12,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVlzYAH,1117 MELODY LN KELLER TX,1117 MELODY LN KELLER TX,DFW,TX,KELLER,TX0603-002000118A,TX_DFW_SA13_FDH02,SA13,2025-10-06T18:05:06.000+0000
a01WR00000UGVm3YAH,1119 MELODY LN KELLER TX,1119 MELODY LN KELLER TX,DFW,TX,KELLER,TX0603-002000157A,TX_DFW_SA13_FDH02,SA13,2025-10-06T18:05:06.000+0000
a01WR00000UGVm4YAH,1119 MOUNT GILEAD RD KELLER TX,1119 MOUNT GILEAD RD KELLER TX,DFW,TX,KELLER,TX0603-002000156A,TX_DFW_SA13_FDH02,SA13,2025-10-06T18:05:06.000+0000
a01WR00000UGVmhYAH,1120 CARPENTER ST AZLE TX,1120 CARPENTER ST AZLE TX,DFW,TX,AZLE,TX0601-010000103A,TX_DFW_SA02_FDH10,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVmjYAH,1120 LAKE RIDGE DR AZLE TX,1120 LAKE RIDGE DR AZLE TX,DFW,TX,AZLE,TX0601-011000009A,TX_DFW_SA02_FDH11,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVmkYAH,1120 LAKEVIEW DR AZLE TX,1120 LAKEVIEW DR AZLE TX,DFW,TX,AZLE,TX0601-011000015A,TX_DFW_SA02_FDH11,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVmlYAH,1120 MELODY LN KELLER TX,1120 MELODY LN KELLER TX,DFW,TX,KELLER,TX0603-002000141A,TX_DFW_SA13_FDH02,SA13,2025-10-06T18:05:06.000+0000
a01WR00000UGVmpYAH,1120 WILLOW RIDGE DR AZLE TX,1120 WILLOW RIDGE DR AZLE TX,DFW,TX,AZLE,TX0601-011000016A,TX_DFW_SA02_FDH11,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVmrYAH,1121 CARPENTER ST AZLE TX,1121 CARPENTER ST AZLE TX,DFW,TX,AZLE,TX0601-010000064A,TX_DFW_SA02_FDH10,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVmwYAH,1121 SHADOW RIDGE DR AZLE TX,1121 SHADOW RIDGE DR AZLE TX,DFW,TX,AZLE,TX0601-011000022A,TX_DFW_SA02_FDH11,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVmyYAH,1121 WOODRIDGE DR AZLE TX,1121 WOODRIDGE DR AZLE TX,DFW,TX,AZLE,TX0601-011000001A,TX_DFW_SA02_FDH11,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVn5YAH,1123 MELODY LN KELLER TX,1123 MELODY LN KELLER TX,DFW,TX,KELLER,TX0603-002000126A,TX_DFW_SA13_FDH02,SA13,2025-10-06T18:05:06.000+0000
a01WR00000UGVn7YAH,1124 LAKE RIDGE DR AZLE TX,1124 LAKE RIDGE DR AZLE TX,DFW,TX,AZLE,TX0601-011000008A,TX_DFW_SA02_FDH11,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVn8YAH,1124 WILLOW RIDGE DR AZLE TX,1124 WILLOW RIDGE DR AZLE TX,DFW,TX,AZLE,TX0601-011000003A,TX_DFW_SA02_FDH11,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVn9YAH,1124 WOODRIDGE DR AZLE TX,1124 WOODRIDGE DR AZLE TX,DFW,TX,AZLE,TX0601-011000019A,TX_DFW_SA02_FDH11,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVnDYAX,1125 LAKE RIDGE DR AZLE TX,1125 LAKE RIDGE DR AZLE TX,DFW,TX,AZLE,TX0601-011000021A,TX_DFW_SA02_FDH11,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVnIYAX,1125 WOODRIDGE DR AZLE TX,1125 WOODRIDGE DR AZLE TX,DFW,TX,AZLE,TX0601-011000020A,TX_DFW_SA02_FDH11,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVnJYAX,1126 MELODY LN KELLER TX,1126 MELODY LN KELLER TX,DFW,TX,KELLER,TX0603-002000153A,TX_DFW_SA13_FDH02,SA13,2025-10-06T18:05:06.000+0000
a01WR00000UGVnMYAX,1128 WILLOW RIDGE DR AZLE TX,1128 WILLOW RIDGE DR AZLE TX,DFW,TX,AZLE,TX0601-011000017A,TX_DFW_SA02_FDH11,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVnNYAX,1128 WOODRIDGE DR AZLE TX,1128 WOODRIDGE DR AZLE TX,DFW,TX,AZLE,TX0601-011000014A,TX_DFW_SA02_FDH11,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVnPYAX,1129 LAKE RIDGE DR AZLE TX,1129 LAKE RIDGE DR AZLE TX,DFW,TX,AZLE,TX0601-011000010A,TX_DFW_SA02_FDH11,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVnTYAX,1129 WILLOW RIDGE DR AZLE TX,1129 WILLOW RIDGE DR AZLE TX,DFW,TX,AZLE,TX0601-011000002A,TX_DFW_SA02_FDH11,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVnlYAH,113 N ASH AVE AZLE TX,113 N ASH AVE AZLE TX,DFW,TX,AZLE,TX0601-010000055A,TX_DFW_SA02_FDH10,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVo3YAH,1131 MELODY LN KELLER TX,1131 MELODY LN KELLER TX,DFW,TX,KELLER,TX0603-002000107A,TX_DFW_SA13_FDH02,SA13,2025-10-06T18:05:06.000+0000
a01WR00000UGVo5YAH,1132 MELODY LN KELLER TX,1132 MELODY LN KELLER TX,DFW,TX,KELLER,TX0603-002000131A,TX_DFW_SA13_FDH02,SA13,2025-10-06T18:05:06.000+0000
a01WR00000UGVo6YAH,1132 PINE RIDGE DR AZLE TX,1132 PINE RIDGE DR AZLE TX,DFW,TX,AZLE,TX0601-011000026A,TX_DFW_SA02_FDH11,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVo8YAH,1133 PINE RIDGE DR AZLE TX,1133 PINE RIDGE DR AZLE TX,DFW,TX,AZLE,TX0601-011000023A,TX_DFW_SA02_FDH11,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVoAYAX,1133 WILLOW RIDGE DR AZLE TX,1133 WILLOW RIDGE DR AZLE TX,DFW,TX,AZLE,TX0601-011000007A,TX_DFW_SA02_FDH11,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVoEYAX,1135 MELODY LN KELLER TX,1135 MELODY LN KELLER TX,DFW,TX,KELLER,TX0603-002000151A,TX_DFW_SA13_FDH02,SA13,2025-10-06T18:05:06.000+0000
a01WR00000UGVoGYAX,1136 MELODY LN KELLER TX,1136 MELODY LN KELLER TX,DFW,TX,KELLER,TX0603-002000114A,TX_DFW_SA13_FDH02,SA13,2025-10-06T18:05:06.000+0000
a01WR00000UGVoHYAX,1136 PINE RIDGE DR AZLE TX,1136 PINE RIDGE DR AZLE TX,DFW,TX,AZLE,TX0601-011000024A,TX_DFW_SA02_FDH11,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVoKYAX,1137 PINE RIDGE DR AZLE TX,1137 PINE RIDGE DR AZLE TX,DFW,TX,AZLE,TX0601-011000025A,TX_DFW_SA02_FDH11,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVoPYAX,1139 MELODY LN KELLER TX,1139 MELODY LN KELLER TX,DFW,TX,KELLER,TX0603-002000140A,TX_DFW_SA13_FDH02,SA13,2025-10-06T18:05:06.000+0000
a01WR00000UGVopYAH,1143 MELODY LN KELLER TX,1143 MELODY LN KELLER TX,DFW,TX,KELLER,TX0603-002000149A,TX_DFW_SA13_FDH02,SA13,2025-10-06T18:05:06.000+0000
a01WR00000UGVp5YAH,115 EAST ST HUTTO TX,115 EAST ST HUTTO TX,HUTTO,TX,HUTTO,TX1101-026000103A,TX_HUTTO_SA01_FDH26,SA01,2025-10-06T18:05:06.000+0000
a01WR00000UGVpQYAX,1150 RANDOL MILL RD KELLER TX,1150 RANDOL MILL RD KELLER TX,DFW,TX,KELLER,TX0603-021000123A,TX_DFW_SA13_FDH21,SA13,2025-10-06T18:05:06.000+0000
a01WR00000UGVpmYAH,116 HARMONSON AVE JUSTIN TX,116 HARMONSON AVE JUSTIN TX,DFW,TX,JUSTIN,TX0602-021000142A,TX_DFW_SA03_FDH21,SA03,2025-10-06T18:05:06.000+0000
a01WR00000UGVqdYAH,117 N ASH AVE AZLE TX,117 N ASH AVE AZLE TX,DFW,TX,AZLE,TX0601-010000089A,TX_DFW_SA02_FDH10,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVsQYAX,1200 GLENWOOD DR AZLE TX,1200 GLENWOOD DR AZLE TX,DFW,TX,AZLE,TX0601-012000016A,TX_DFW_SA02_FDH12,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVsWYAX,1200 MELODY LN KELLER TX,1200 MELODY LN KELLER TX,DFW,TX,KELLER,TX0603-002000166A,TX_DFW_SA13_FDH02,SA13,2025-10-06T18:05:06.000+0000
a01WR00000UGVtVYAX,1204 GLENWOOD DR AZLE TX,1204 GLENWOOD DR AZLE TX,DFW,TX,AZLE,TX0601-012000014A,TX_DFW_SA02_FDH12,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVuBYAX,1208 GLENWOOD DR AZLE TX,1208 GLENWOOD DR AZLE TX,DFW,TX,AZLE,TX0601-012000015A,TX_DFW_SA02_FDH12,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVucYAH,121 N ASH AVE AZLE TX,121 N ASH AVE AZLE TX,DFW,TX,AZLE,TX0601-010000110A,TX_DFW_SA02_FDH10,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVuoYAH,1210 MELODY LN KELLER TX,1210 MELODY LN KELLER TX,DFW,TX,KELLER,TX0603-002000129A,TX_DFW_SA13_FDH02,SA13,2025-10-06T18:05:06.000+0000
a01WR00000UGVv3YAH,1211 W MURPHY RD COLLEYVILLE TX,1211 W MURPHY RD COLLEYVILLE TX,DFW,TX,COLLEYVILLE,TX0606-010000016A,TX_DFW_SA01_FDH10,SA01,2025-10-06T18:05:06.000+0000
a01WR00000UGVv6YAH,1212 GLENWOOD DR AZLE TX,1212 GLENWOOD DR AZLE TX,DFW,TX,AZLE,TX0601-012000007A,TX_DFW_SA02_FDH12,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVvNYAX,1216 GLENWOOD DR AZLE TX,1216 GLENWOOD DR AZLE TX,DFW,TX,AZLE,TX0601-012000001A,TX_DFW_SA02_FDH12,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVvPYAX,12189 ANGEL FOOD LN FORT WORTH TX,12189 ANGEL FOOD LN FORT WORTH TX,DFW,TX,FORT WORTH,TX0606-021000134A,TX_DFW_SA01_FDH21,SA01,2025-10-06T18:05:06.000+0000
a01WR00000UGVvYYAX,122 W OLIVE ST KELLER TX,122 W OLIVE ST KELLER TX,DFW,TX,KELLER,TX0607-016000070A,TX_DFW_SA01_FDH16,SA01,2025-10-06T18:05:06.000+0000
a01WR00000UGVvaYAH,1220 GLENWOOD DR AZLE TX,1220 GLENWOOD DR AZLE TX,DFW,TX,AZLE,TX0601-012000002A,TX_DFW_SA02_FDH12,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVvdYAH,1220 MELODY LN KELLER TX,1220 MELODY LN KELLER TX,DFW,TX,KELLER,TX0603-002000125A,TX_DFW_SA13_FDH02,SA13,2025-10-06T18:05:06.000+0000
a01WR00000UGVvpYAH,1224 GLENWOOD DR AZLE TX,1224 GLENWOOD DR AZLE TX,DFW,TX,AZLE,TX0601-012000008A,TX_DFW_SA02_FDH12,SA02,2025-10-06T18:05:06.000+0000
a01WR00000UGVw2YAH,1230 MELODY LN KELLER TX,1230 MELODY LN KELLER TX,DFW,TX,KELLER,TX0603-002000123A,TX_DFW_SA13_FDH02,SA13,2025-10-06T18:05:06.000+0000
a01WR00000UGVw6YAH,12301 WOODLAND SPRINGS DR FORT WORTH TX,12301 WOODLAND SPRINGS DR FORT WORTH TX,DFW,TX,FORT WORTH,TX0606-036000230A,TX_DFW_SA01_FDH36,SA01,2025-10-06T18:05:06.000+0000
